frame,video_name,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,19_rg_4.mp4,0.20698196,0.21801084,0.53072286,0.42504525,0.14310312,1.0,0.26854375,0.21806613,1.0,0.29092535,0.735408,0.26681855,0.4490965,1.0,0.43509007,0.6372879,0.069482855,0.21507984,0.25888005,0.06284693
1,19_rg_4.mp4,0.21055213,0.22347453,0.51468235,0.34937447,0.163432,1.0,0.47469518,0.42282885,0.0,0.31994018,0.7891117,0.34462738,0.4336608,1.0,0.45042917,0.6058807,0.16359703,0.2654369,0.21807425,0.20321229
2,19_rg_4.mp4,0.19400373,0.2967075,0.47088546,0.33806148,0.32659185,0.0,0.43686298,0.80370545,1.0,0.32660732,0.73813885,0.10048844,0.43057224,1.0,0.40633008,0.6279236,0.13137814,0.2827556,0.3164641,0.21216941
3,19_rg_4.mp4,0.22285831,0.2795022,0.4677115,0.33579215,0.19685046,0.0,0.44555923,0.8303131,1.0,0.40623003,0.7733279,0.167005,0.41564587,1.0,0.30019996,0.59108406,0.22633459,0.16639623,0.24882823,0.18204029
4,19_rg_4.mp4,0.23044385,0.32626233,0.49244758,0.32514268,0.3020309,1.0,0.4386859,0.8344056,1.0,0.4486213,0.7558762,0.31669343,0.4117048,1.0,0.39626664,0.5214473,0.12119163,0.4835559,0.3640637,0.12270999
5,19_rg_4.mp4,0.24767198,0.2824498,0.50008285,0.32020187,0.20623215,0.0,0.44636163,0.24566199,1.0,0.27120307,0.81836516,0.17238551,0.4173962,1.0,0.43719044,0.51018476,0.6761988,0.23805986,0.5392576,0.16578001
6,19_rg_4.mp4,0.23407961,0.31475738,0.44679436,0.32241693,0.18973345,1.0,0.4784214,0.12465523,1.0,0.27933317,0.78150696,0.19973175,0.42961466,1.0,0.51960343,0.58516425,0.13804023,0.29403594,0.66115487,0.20747998
7,19_rg_4.mp4,0.27165163,0.30176044,0.5611869,0.42477646,0.14555478,0.0,0.26022163,0.053028,1.0,0.20638189,0.69979304,0.11580397,0.4180054,1.0,0.45696345,0.5284338,0.11749241,0.27876374,0.4600044,0.06341483
8,19_rg_4.mp4,0.24008213,0.26371306,0.54292125,0.42399153,0.1627519,1.0,0.2545172,0.009306174,1.0,0.18698744,0.7745748,0.124421455,0.455614,1.0,0.5562899,0.6872783,0.22557572,0.17221187,0.28398347,0.047051657
9,19_rg_4.mp4,0.16412595,0.2266938,0.38467726,0.4143173,0.2568534,1.0,0.269513,0.048246473,1.0,0.26214182,0.8257291,0.08303045,0.44903347,1.0,0.52481663,0.60739785,0.31603426,0.34318766,0.43552297,0.047712173
10,19_rg_4.mp4,0.19671075,0.18339951,0.42835745,0.40691057,0.18085797,1.0,0.2689527,0.073317215,1.0,0.22305946,0.77906656,0.046621326,0.471556,1.0,0.4213741,0.5344626,0.6423653,0.31969553,0.7498068,0.03477364
11,19_rg_4.mp4,0.21302073,0.22676265,0.48668286,0.40216187,0.21391253,0.0,0.31264433,0.030583898,1.0,0.19337542,0.592828,0.046447594,0.37703934,1.0,0.33291626,0.7143501,0.5992425,0.18991017,0.5827632,0.051317018
12,19_rg_4.mp4,0.19431897,0.15344855,0.4916701,0.4032588,0.09790295,1.0,0.20450208,0.14967899,1.0,0.18132575,0.74276644,0.1616842,0.4588433,1.0,0.4368122,0.56753325,0.69521505,0.25703725,0.3755812,0.033258677
13,19_rg_4.mp4,0.21935424,0.2524405,0.508361,0.32183623,0.24974783,1.0,0.49674115,0.79876167,1.0,0.4232288,0.8093456,0.12845178,0.3856098,1.0,0.35896623,0.61682034,0.5729412,0.19518512,0.5878558,0.10233727
14,19_rg_4.mp4,0.34368944,0.29775766,0.803801,0.60718095,0.12112772,0.0,0.15366855,0.0077218576,0.0,0.029369885,0.73336166,0.17759502,0.2705664,0.0,0.7063017,0.77670705,0.0015034031,0.22829613,0.21163276,0.030775934
15,19_rg_4.mp4,0.35695794,0.14380951,0.85320956,0.25101924,0.052910652,0.0,0.3718642,0.012149991,0.0,0.017583068,0.6178786,0.2275436,0.31113732,0.0,0.75491816,0.69918036,0.0015392504,0.21064287,0.64089215,0.12775598
16,19_rg_4.mp4,0.37137473,0.16131423,0.74600923,0.25208274,0.053530566,0.0,0.34588444,0.020139268,0.0,0.015549611,0.7031741,0.13957591,0.32683694,0.0,0.79458433,0.7234348,0.006116073,0.28501394,0.39824906,0.18067679
17,19_rg_4.mp4,0.3341062,0.23343526,0.768075,0.23075522,0.21263373,1.0,0.61914706,0.12560552,1.0,0.14324509,0.8705895,0.34655377,0.6023151,1.0,0.52193975,0.68370664,0.23199919,0.75719637,0.7338339,0.40054166
18,19_rg_4.mp4,0.28400648,0.27915397,0.8663925,0.25123996,0.25023526,1.0,0.610498,0.07982006,1.0,0.10894172,0.7647387,0.10418297,0.48113135,1.0,0.48315448,0.5737658,0.5498328,0.6690515,0.32735175,0.22380589
19,19_rg_4.mp4,0.18032914,0.12712519,0.6488974,0.2909063,0.24229224,0.0,0.5698621,0.022709718,1.0,0.14857264,0.8193434,0.15076686,0.4075911,1.0,0.50487417,0.5885096,0.6825024,0.6146034,0.6263763,0.18056968
20,19_rg_4.mp4,0.1558312,0.11722817,0.80212814,0.3695031,0.16365202,1.0,0.16587242,0.18818274,1.0,0.13482203,0.79544455,0.06954179,0.57427025,1.0,0.53831875,0.55998576,0.64316535,0.8111306,0.2688111,0.04424334
21,19_rg_4.mp4,0.15566526,0.110126466,0.85300523,0.36682382,0.16365202,1.0,0.17256613,0.1080105,1.0,0.12044997,0.7430302,0.08055852,0.5607307,1.0,0.624163,0.6188073,0.37333563,0.67435765,0.5317639,0.03636697
22,19_rg_4.mp4,0.13991486,0.09572817,0.64929706,0.41777688,0.1630254,1.0,0.17746808,0.07091207,1.0,0.1216789,0.7991356,0.093307704,0.5329281,1.0,0.4216408,0.46716338,0.85904354,0.6536118,0.27506143,0.03733208
23,19_rg_4.mp4,0.21315783,0.15977892,0.5645388,0.5983841,0.11171224,0.0,0.14856584,0.003605814,1.0,0.1453851,0.6385522,0.15568618,0.42373264,1.0,0.43258986,0.18593952,0.12339359,0.71658057,0.57861525,0.05103351
24,19_rg_4.mp4,0.2101851,0.2587059,0.5450045,0.59247756,0.11020047,1.0,0.1519943,0.19243029,1.0,0.12832499,0.7358476,0.09457151,0.43686044,1.0,0.4856947,0.5046078,0.504118,0.6019577,0.4382334,0.056914173
25,19_rg_4.mp4,0.20920119,0.1938832,0.4273815,0.5975249,0.10849231,1.0,0.14930779,0.06485066,1.0,0.14313047,0.6672638,0.16175339,0.4678112,1.0,0.36602446,0.18496595,0.29389876,0.6645702,0.22377126,0.052327614
26,19_rg_4.mp4,0.2030369,0.19619472,0.46943516,0.6048609,0.11779985,1.0,0.1526956,0.04754808,1.0,0.14638974,0.6819269,0.15332995,0.46243772,1.0,0.32113242,0.18833317,0.5220051,0.6731068,0.18332675,0.04531352
27,19_rg_4.mp4,0.21267173,0.12187631,0.6289584,0.6165125,0.10774046,1.0,0.1262264,0.02577896,1.0,0.11346517,0.7673746,0.09204715,0.42619133,1.0,0.36056846,0.28702414,0.50474596,0.7371064,0.3584402,0.0799368
28,19_rg_4.mp4,0.25134838,0.16861652,0.60179526,0.63381684,0.07493801,0.0,0.16513234,0.002170558,0.0,0.065191545,0.8078782,0.042845488,0.45297027,1.0,0.57486814,0.5202811,0.36082113,0.5633834,0.7290931,0.033503458
29,19_rg_4.mp4,0.20168667,0.25236607,0.54724497,0.5640514,0.06912136,0.0,0.16120666,0.0014263197,0.0,0.054552235,0.68919027,0.056178346,0.47471896,1.0,0.5056537,0.6395563,0.10581162,0.46248588,0.55528146,0.051860295
30,19_rg_4.mp4,0.18494779,0.13491538,0.74015075,0.613707,0.081000686,0.0,0.14947574,0.007271333,0.0,0.066407576,0.68380547,0.041965093,0.48149613,1.0,0.47053406,0.5884321,0.10992689,0.13558884,0.32430193,0.081996925
31,19_rg_4.mp4,0.16611247,0.15725268,0.5221541,0.62237155,0.08390076,0.0,0.153119,0.0018884311,1.0,0.078378014,0.7326713,0.05856171,0.48698223,1.0,0.5802349,0.60240173,0.24970631,0.6876726,0.46350542,0.075537495
32,19_rg_4.mp4,0.2081958,0.21556042,0.53561854,0.59756345,0.08926986,1.0,0.13710006,0.006938099,1.0,0.0819504,0.6326127,0.10873992,0.45194933,1.0,0.50166434,0.28128678,0.082753584,0.4729116,0.22337717,0.060545214
33,19_rg_4.mp4,0.19687758,0.13477434,0.6092233,0.5961396,0.13419123,0.0,0.14105767,0.058156725,1.0,0.14283101,0.6805232,0.124805786,0.5351519,1.0,0.45582414,0.25724337,0.6913439,0.40511495,0.20719504,0.05163525
34,19_rg_4.mp4,0.17438695,0.1299247,0.58492374,0.40228418,0.121827796,1.0,0.14964344,0.0013684494,1.0,0.28418753,0.6629686,0.14484546,0.5193957,1.0,0.2658658,0.26109603,0.1943209,0.31446016,0.10368087,0.048663422
35,19_rg_4.mp4,0.18249805,0.12256895,0.62579924,0.60293674,0.1329255,1.0,0.17548913,0.213144,1.0,0.35180053,0.6936033,0.09564008,0.5175441,1.0,0.32779217,0.18532495,0.6900598,0.5241229,0.30888888,0.06654059
36,19_rg_4.mp4,0.18516143,0.15314983,0.56773055,0.6027794,0.12985148,1.0,0.16891518,0.14725573,1.0,0.35920742,0.69363904,0.10264307,0.53194535,1.0,0.35665187,0.22912717,0.6541983,0.6482569,0.3021764,0.07558126
37,19_rg_4.mp4,0.15580468,0.1601206,0.6027635,0.39322546,0.14881167,0.0,0.17362483,0.2224378,1.0,0.33791918,0.80168384,0.15272006,0.42598876,1.0,0.34140193,0.14535579,0.6297306,0.4558701,0.44205943,0.031989835
38,19_rg_4.mp4,0.18871427,0.12698473,0.5751493,0.5947604,0.097821414,0.0,0.1600888,0.021588046,1.0,0.14179103,0.7213274,0.090066746,0.4872958,1.0,0.29144585,0.27250367,0.4523453,0.35833356,0.3114462,0.08602717
39,19_rg_4.mp4,0.18220219,0.10312986,0.38300085,0.6097748,0.14828621,1.0,0.15438113,0.0020795697,0.0,0.1443681,0.81885356,0.04852288,0.48850468,1.0,0.45376557,0.29955888,0.2324189,0.5978142,0.5258125,0.05944671
40,19_rg_4.mp4,0.20193501,0.11643925,0.6255144,0.61136645,0.12743442,1.0,0.1616795,0.0025805729,0.0,0.13182841,0.7566772,0.15001021,0.55352664,1.0,0.40648302,0.23126574,0.70977545,0.6983447,0.36573252,0.048735328
41,19_rg_4.mp4,0.19683246,0.12426411,0.58204657,0.61136645,0.113820486,1.0,0.1584261,0.0012346527,0.0,0.12548575,0.7715085,0.1018619,0.541742,1.0,0.44779596,0.2523236,0.8403905,0.68726873,0.36840466,0.048735328
42,19_rg_4.mp4,0.24292772,0.15460512,0.5867451,0.606991,0.09570256,0.0,0.13917005,0.0053045363,0.0,0.12882441,0.78608227,0.10184418,0.5030009,1.0,0.3870771,0.21191376,0.28634912,0.5449395,0.7082389,0.08671553
43,19_rg_4.mp4,0.27817628,0.23187272,0.5408547,0.37272936,0.14789058,1.0,0.23978911,0.0028913084,0.0,0.1999939,0.6219086,0.05246349,0.4377037,1.0,0.38035306,0.5664186,0.2739366,0.15375036,0.31569204,0.058633927
44,19_rg_4.mp4,0.21865495,0.10040746,0.48522642,0.6099929,0.10609183,0.0,0.17492723,0.0023231935,1.0,0.22844325,0.6072419,0.14272365,0.47988525,1.0,0.38259313,0.24763003,0.8007726,0.48370937,0.34176186,0.064216994
45,19_rg_4.mp4,0.25158623,0.100793004,0.57361144,0.60906047,0.09691528,0.0,0.20168616,0.012891285,1.0,0.11866533,0.7373009,0.13259923,0.51743126,1.0,0.3412283,0.117245,0.8862778,0.3756139,0.3109048,0.08621203
46,19_rg_4.mp4,0.24561037,0.0862289,0.55423844,0.60906047,0.09681746,0.0,0.19816993,0.06558476,1.0,0.11691212,0.7543284,0.13238215,0.5271847,1.0,0.34015104,0.12524375,0.85504794,0.500597,0.46984705,0.06631906
47,19_rg_4.mp4,0.21952266,0.1497312,0.51691306,0.4040084,0.11344886,1.0,0.18959682,0.0077005103,1.0,0.2605561,0.68168336,0.09157628,0.5285615,1.0,0.49230918,0.124451436,0.51188713,0.5507302,0.44993347,0.060458302
48,19_rg_4.mp4,0.21565722,0.14569296,0.61219186,0.38515854,0.10411377,1.0,0.2187166,0.006381433,1.0,0.23285839,0.6372866,0.05538749,0.46078524,1.0,0.5051077,0.16828246,0.57420915,0.251808,0.2599343,0.043533046
49,19_rg_4.mp4,0.21054243,0.089048974,0.5452124,0.37801945,0.10868367,1.0,0.21430194,0.034958936,1.0,0.20749713,0.6640817,0.08246901,0.48448065,1.0,0.39122736,0.26814786,0.6962062,0.55651075,0.6103461,0.03577891
50,19_rg_4.mp4,0.20151317,0.090950824,0.6958841,0.42083684,0.11899102,1.0,0.18634285,0.11553658,1.0,0.2924184,0.74567026,0.06716888,0.5127006,1.0,0.36381242,0.15418854,0.8519192,0.5332363,0.54333496,0.039097868
51,19_rg_4.mp4,0.20151317,0.09741601,0.63911825,0.42083684,0.114924274,1.0,0.18456319,0.22337689,1.0,0.2975035,0.77145576,0.051458787,0.51435024,1.0,0.3349797,0.14798184,0.8188981,0.7302148,0.45400095,0.039097868
52,19_rg_4.mp4,0.19144605,0.08865008,0.5631847,0.39851096,0.108912736,1.0,0.18861575,0.06477577,1.0,0.33149427,0.70175654,0.060057975,0.4551479,1.0,0.34043172,0.20234604,0.6358865,0.63206536,0.50947386,0.06540131
