frame,video_name,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,10_dg_4.mp4,0.34141102,0.50198853,0.32615545,0.35580945,0.4939332,1.0,0.7166296,0.34908345,1.0,0.58200425,0.58728415,0.11104249,0.47163948,1.0,0.50189877,0.51215595,0.99906725,0.35772052,0.06305413,0.1679185
1,10_dg_4.mp4,0.23716697,0.45035928,0.2215653,0.35542142,0.49107373,1.0,0.6541887,0.8050209,1.0,0.44405043,0.5350365,0.10468224,0.44279483,1.0,0.50922567,0.63228333,0.99663514,0.15903404,0.08531921,0.16541287
2,10_dg_4.mp4,0.41259268,0.39616945,0.27738205,0.3537023,0.47141364,1.0,0.73577905,0.116830535,1.0,0.3861326,0.41709682,0.16765216,0.39581758,1.0,0.5472386,0.6454856,0.9546333,0.12930283,0.11415043,0.1441383
3,10_dg_4.mp4,0.38859305,0.4667986,0.55683947,0.3686817,0.3766549,1.0,0.6689207,0.63855106,0.0,0.5951202,0.40807402,0.22431102,0.51480716,1.0,0.45332378,0.6271343,0.9883532,0.30102232,0.07653622,0.16976579
4,10_dg_4.mp4,0.31490237,0.5343491,0.42658943,0.3702896,0.2871517,1.0,0.65922266,0.022520073,0.0,0.496161,0.53104043,0.19890285,0.42013702,1.0,0.4665796,0.6631098,0.9549004,0.20777053,0.0646847,0.097716615
5,10_dg_4.mp4,0.36109623,0.58076036,0.48104924,0.3535062,0.46762204,1.0,0.7012487,0.29849562,1.0,0.55229205,0.49991548,0.20022173,0.42411527,1.0,0.5913088,0.6707612,0.9569233,0.16057923,0.12660047,0.18004851
6,10_dg_4.mp4,0.27497315,0.48082063,0.55287087,0.3585962,0.4746702,1.0,0.7002701,0.38540393,1.0,0.520825,0.46701777,0.17658252,0.46147653,1.0,0.604097,0.6355576,0.94235575,0.16359146,0.11661166,0.12142371
7,10_dg_4.mp4,0.24067606,0.5495903,0.37507245,0.3485823,0.3606691,1.0,0.66076666,0.36023042,1.0,0.7266276,0.39898622,0.13761052,0.47563386,1.0,0.54926276,0.7479341,0.85123336,0.30803975,0.07636334,0.19466972
8,10_dg_4.mp4,0.31616446,0.3907167,0.695981,0.3679091,0.18240367,1.0,0.7396361,0.1211443,1.0,0.34948775,0.59119636,0.13862537,0.41875494,0.0,0.45615092,0.70519954,0.44616058,0.116590835,0.15359065,0.19006878
9,10_dg_4.mp4,0.28195697,0.51823807,0.6752934,0.38494834,0.15189661,1.0,0.7293927,0.07191322,1.0,0.30565843,0.5494717,0.23618178,0.4129154,0.0,0.36900324,0.7510391,0.6162228,0.1352065,0.049583495,0.19914043
10,10_dg_4.mp4,0.18200067,0.49030492,0.69954777,0.34561482,0.15765756,1.0,0.7228056,0.18656051,1.0,0.13193476,0.67507046,0.24893159,0.47253966,0.0,0.5908374,0.6554908,0.3145423,0.13077793,0.096475884,0.17980777
11,10_dg_4.mp4,0.18454769,0.51460844,0.7716349,0.32826564,0.14629424,1.0,0.68643147,0.22795318,1.0,0.27315965,0.6700183,0.16237517,0.4885833,0.0,0.6334073,0.632118,0.21569753,0.15916148,0.12583745,0.21667238
12,10_dg_4.mp4,0.24595892,0.44043505,0.6543722,0.3197816,0.13011996,1.0,0.71486175,0.6277231,1.0,0.14695992,0.6197404,0.14902516,0.45467952,0.0,0.61485857,0.6628899,0.8805293,0.16064972,0.0707768,0.20249523
13,10_dg_4.mp4,0.25016603,0.28651655,0.6136932,0.35115728,0.26770934,0.0,0.70932484,0.45842505,1.0,0.43787125,0.5637454,0.2421107,0.4691906,0.0,0.7190745,0.7786445,0.16538154,0.19349927,0.059151232,0.12508787
14,10_dg_4.mp4,0.2060367,0.42627934,0.4970293,0.34709796,0.20973904,1.0,0.71260005,0.21338339,1.0,0.36492667,0.6504884,0.47665578,0.40222055,0.0,0.7312363,0.77722627,0.7403363,0.10595162,0.103792936,0.13968715
15,10_dg_4.mp4,0.17257833,0.20410943,0.6388786,0.31343198,0.13223767,1.0,0.70427275,0.4521221,1.0,0.16285159,0.610906,0.58840877,0.36750075,0.0,0.7172579,0.73417383,0.28372055,0.1577521,0.102655835,0.0953508
16,10_dg_4.mp4,0.24869978,0.30772415,0.5634076,0.3470785,0.18204418,1.0,0.7058905,0.34195998,1.0,0.16484128,0.59868544,0.3980889,0.4057112,0.0,0.68119174,0.7573174,0.4354205,0.11190717,0.2046341,0.113193035
17,10_dg_4.mp4,0.16275167,0.36688766,0.7884334,0.30453238,0.11622639,1.0,0.71612465,0.59578365,1.0,0.1648073,0.6136891,0.33242485,0.37250307,0.0,0.6084366,0.71726626,0.04655385,0.082211785,0.31818032,0.18479972
18,10_dg_4.mp4,0.22685888,0.3815338,0.8449989,0.2952322,0.34414202,1.0,0.73232764,0.1336801,1.0,0.23005912,0.6943036,0.77753836,0.55617034,1.0,0.38402703,0.6560352,0.43753603,0.3750551,0.06898877,0.14986007
19,10_dg_4.mp4,0.1889542,0.3116821,0.7779141,0.29923066,0.30453774,1.0,0.7342972,0.075404674,1.0,0.23343177,0.6537059,0.6237631,0.54121757,1.0,0.369593,0.46301207,0.99428225,0.5782898,0.07971562,0.09604229
20,10_dg_4.mp4,0.17729376,0.21600439,0.6672704,0.39010286,0.38070512,1.0,0.42054835,0.11850882,1.0,0.16492255,0.65702224,0.5414628,0.4864564,1.0,0.5916042,0.11230466,0.98810345,0.40961736,0.2589093,0.051605802
21,10_dg_4.mp4,0.18890154,0.22066666,0.6947942,0.45215687,0.3766443,1.0,0.45175502,0.104373425,1.0,0.14246218,0.6874621,0.66538453,0.4876073,1.0,0.6277311,0.11903008,0.9950539,0.53081083,0.20764245,0.043354724
22,10_dg_4.mp4,0.19190675,0.20092563,0.619218,0.45256037,0.36599237,1.0,0.43050447,0.030923352,1.0,0.127653,0.63367474,0.5522359,0.4492552,1.0,0.6103065,0.07743709,0.9987337,0.7425326,0.3176354,0.044476133
23,10_dg_4.mp4,0.2517449,0.25556952,0.5664175,0.30917105,0.40485778,0.0,0.50132227,0.46709013,1.0,0.23016654,0.77931696,0.78829134,0.4122798,1.0,0.49755216,0.085460916,0.99914026,0.63653356,0.08554975,0.028815998
24,10_dg_4.mp4,0.26108655,0.23607819,0.6923853,0.31153437,0.48602682,0.0,0.52157575,0.9124365,1.0,0.2803875,0.7993181,0.82408106,0.3648716,1.0,0.51114625,0.099292256,0.9999342,0.5399151,0.1821843,0.033638075
25,10_dg_4.mp4,0.28486583,0.17005661,0.61175513,0.30223048,0.47211456,1.0,0.49151465,0.59187067,0.0,0.39471477,0.6308964,0.75747114,0.40177035,1.0,0.45643863,0.013100837,0.9999571,0.7320143,0.1517415,0.024006188
26,10_dg_4.mp4,0.2809965,0.16603002,0.7062694,0.3044282,0.48388967,0.0,0.46237302,0.70842344,0.0,0.36918697,0.67901266,0.8285885,0.42593104,1.0,0.45733726,0.0155328745,0.999977,0.73746026,0.052149434,0.02441017
27,10_dg_4.mp4,0.16402061,0.21444085,0.83215165,0.32444823,0.5057917,1.0,0.7492219,0.7151305,1.0,0.23947442,0.66667247,0.76695293,0.32987422,1.0,0.50246894,0.013945655,0.9999167,0.70270437,0.18754391,0.13806874
28,10_dg_4.mp4,0.22769524,0.114151746,0.6926764,0.33477324,0.46632233,1.0,0.37248713,0.1483584,1.0,0.39753178,0.6623236,0.80481714,0.32186902,1.0,0.37097564,0.01776678,0.9999311,0.6393548,0.043261264,0.037510417
29,10_dg_4.mp4,0.26645243,0.20582026,0.58596176,0.3440566,0.39106786,1.0,0.36633888,0.4498299,1.0,0.353506,0.64315367,0.6735158,0.39931393,1.0,0.49263093,0.0155669125,0.99982387,0.6218117,0.07048731,0.036962938
