emotion,frame,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
Happiness,1,0.19,0.28,0.27,0.28,0.7,0.86,0.0,1.21,1.57,0.45,0.53,0.93,0.14,0.0,0.0,1.93,0.0
Happiness,2,0.25,0.1,0.38,0.21,0.73,1.08,0.0,1.21,1.6,0.69,0.71,0.65,0.05,0.0,0.0,1.67,0.0
Happiness,3,0.32,0.01,0.36,0.12,0.75,1.11,0.0,1.2,1.62,0.81,0.8,0.53,0.05,0.0,0.0,1.61,0.0
Happiness,4,0.43,0.03,0.29,0.0,0.78,1.03,0.0,1.25,1.7,0.84,0.78,0.44,0.1,0.0,0.0,1.68,0.0
Happiness,5,0.46,0.1,0.18,0.0,0.83,1.01,0.0,1.33,1.77,0.92,0.86,0.48,0.16,0.0,0.0,1.61,0.0
Happiness,6,0.51,0.1,0.18,0.0,0.9,1.21,0.0,1.42,1.88,0.89,0.7,0.46,0.13,0.0,0.0,1.37,0.0
Happiness,7,0.48,0.19,0.24,0.0,0.93,1.2,0.0,1.5,1.94,0.95,0.52,0.4,0.07,0.0,0.0,1.15,0.0
Happiness,8,0.41,0.19,0.29,0.0,0.99,1.11,0.0,1.69,2.13,0.96,0.26,0.24,0.02,0.0,0.0,1.02,0.0
Happiness,9,0.36,0.32,0.33,0.0,1.03,0.95,0.0,1.89,2.27,1.08,0.23,0.09,0.1,0.0,0.0,1.02,0.0
Happiness,10,0.31,0.34,0.32,0.01,1.11,0.93,0.0,2.08,2.4,1.12,0.16,0.05,0.3,0.0,0.0,1.05,0.0
Happiness,11,0.34,0.26,0.28,0.05,1.15,1.17,0.0,2.05,2.43,1.16,0.19,0.05,0.43,0.0,0.0,0.91,0.0
Happiness,12,0.29,0.14,0.18,0.05,1.23,1.4,0.0,2.04,2.48,1.23,0.11,0.05,0.44,0.0,0.0,0.85,0.0
Happiness,13,0.21,0.0,0.11,0.04,1.31,1.88,0.0,1.99,2.6,1.21,0.12,0.0,0.23,0.0,0.04,0.62,0.0
Happiness,14,0.15,0.0,0.16,0.0,1.35,2.07,0.01,2.06,2.74,1.23,0.05,0.03,0.1,0.0,0.09,0.52,0.08
Happiness,15,0.1,0.0,0.25,0.0,1.34,2.17,0.01,2.11,2.85,1.17,0.1,0.08,0.0,0.0,0.17,0.39,0.14
Happiness,16,0.14,0.0,0.22,0.0,1.36,2.01,0.03,2.22,2.91,1.19,0.1,0.11,0.0,0.0,0.23,0.52,0.2
Happiness,17,0.14,0.0,0.11,0.0,1.41,1.88,0.06,2.17,2.89,1.17,0.09,0.08,0.0,0.0,0.18,0.68,0.22
Happiness,18,0.13,0.0,0.02,0.0,1.47,1.8,0.1,2.24,3.0,1.22,0.12,0.03,0.0,0.0,0.11,0.65,0.25
Happiness,19,0.06,0.0,0.0,0.0,1.52,1.81,0.12,2.2,3.06,1.18,0.08,0.05,0.0,0.0,0.02,0.55,0.29
Happiness,20,0.02,0.0,0.0,0.0,1.57,1.89,0.11,2.3,3.16,1.11,0.09,0.08,0.0,0.0,0.07,0.37,0.27
Happiness,21,0.0,0.0,0.0,0.0,1.62,1.97,0.12,2.27,3.15,1.11,0.01,0.13,0.0,0.0,0.07,0.39,0.27
Happiness,22,0.0,0.0,0.0,0.0,1.66,2.06,0.14,2.32,3.18,1.18,0.01,0.19,0.0,0.0,0.11,0.45,0.16
Happiness,23,0.0,0.0,0.0,0.0,1.71,2.16,0.11,2.28,3.24,1.18,0.0,0.2,0.0,0.0,0.13,0.54,0.3
Happiness,24,0.0,0.0,0.0,0.0,1.75,2.05,0.06,2.25,3.33,1.12,0.0,0.15,0.0,0.0,0.18,0.49,0.29
Happiness,25,0.0,0.0,0.0,0.0,1.8,1.96,0.0,2.23,3.43,1.05,0.0,0.04,0.0,0.0,0.23,0.41,0.41
Happiness,26,0.0,0.0,0.0,0.0,1.78,1.94,0.0,2.27,3.48,1.26,0.0,0.04,0.0,0.0,0.37,0.26,0.43
Happiness,27,0.0,0.0,0.0,0.0,1.81,2.1,0.0,2.28,3.54,1.49,0.0,0.04,0.0,0.0,0.41,0.18,0.61
Happiness,28,0.0,0.0,0.0,0.0,1.79,2.03,0.0,2.35,3.66,1.56,0.0,0.18,0.0,0.2,0.4,0.06,0.65
