frame,video_name,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,2_tg_6.mp4,0.20398402,0.30668595,0.718651,0.3095107,0.16455561,0.0,0.13469245,0.066816024,1.0,0.051201824,0.68592787,0.18649307,0.43163684,1.0,0.69107026,0.5686186,0.020582397,0.2507212,0.12264127,0.029505895
1,2_tg_6.mp4,0.341477,0.38965935,0.41145402,0.3067352,0.1165267,0.0,0.12741546,0.24916908,1.0,0.06637628,0.6992146,0.056361232,0.36776814,1.0,0.50735015,0.5426321,0.022112088,0.336917,0.14067586,0.027051581
2,2_tg_6.mp4,0.19276834,0.2590421,0.6565284,0.33610532,0.10558941,0.0,0.13720083,0.08732665,1.0,0.040849976,0.70451784,0.14842686,0.4139123,1.0,0.71775365,0.60290647,0.010492997,0.08945909,0.11802892,0.02701835
3,2_tg_6.mp4,0.21853893,0.20690182,0.39539,0.31923476,0.20141017,0.0,0.16717881,0.03559733,1.0,0.08865002,0.7161934,0.10588435,0.38962525,1.0,0.6468877,0.6519989,0.0036256472,0.20593695,0.058799945,0.03737786
4,2_tg_6.mp4,0.21207581,0.29675388,0.5900851,0.31129766,0.16208681,0.0,0.13141735,0.059940495,1.0,0.19577922,0.76126593,0.091283344,0.27900937,1.0,0.61834735,0.74496686,0.015847897,0.11206178,0.11203496,0.042622883
5,2_tg_6.mp4,0.20345521,0.15453018,0.47355327,0.24914172,0.20342478,0.0,0.3940844,0.6105237,1.0,0.19002634,0.6987898,0.20772263,0.42863542,1.0,0.6139472,0.7593936,0.054748654,0.1176822,0.13948749,0.13358891
6,2_tg_6.mp4,0.2300189,0.17832349,0.53558797,0.30116263,0.21356866,0.0,0.14394572,0.35493517,1.0,0.19883393,0.7365854,0.2965258,0.49880055,1.0,0.6151234,0.78177875,0.004716511,0.22543108,0.074328855,0.048766278
7,2_tg_6.mp4,0.4829206,0.19310568,0.55181944,0.29456237,0.25882775,0.0,0.15833086,0.06712488,0.0,0.18497851,0.6519995,0.32618764,0.47371784,1.0,0.57477635,0.77444816,0.25225154,0.056458984,0.087326795,0.045438614
8,2_tg_6.mp4,0.32968232,0.13213374,0.35209367,0.32157782,0.24480581,0.0,0.1443284,0.11507526,1.0,0.2050283,0.6176453,0.25928652,0.5298566,1.0,0.66070163,0.7445443,0.03692864,0.15111478,0.17901559,0.024329284
9,2_tg_6.mp4,0.3832324,0.3537906,0.53546166,0.2919482,0.44281492,0.0,0.28525224,0.824285,0.0,0.39267746,0.6450362,0.24301471,0.4240053,1.0,0.64405406,0.7737708,0.055323772,0.1060565,0.0853245,0.061503977
10,2_tg_6.mp4,0.4969206,0.23928231,0.39425716,0.2289057,0.43575338,1.0,0.5939153,0.40523776,0.0,0.43678874,0.6859821,0.22334473,0.37029156,1.0,0.6469908,0.8026727,0.41756672,0.26399964,0.11620704,0.13137849
11,2_tg_6.mp4,0.478036,0.27598202,0.5236057,0.21981294,0.42380208,1.0,0.5363271,0.47326767,0.0,0.45827764,0.60105956,0.13396053,0.4132372,1.0,0.5936457,0.75689673,0.78854865,0.19122769,0.09460379,0.13394792
12,2_tg_6.mp4,0.5045657,0.29540795,0.34554166,0.31593546,0.4578034,1.0,0.202792,0.027456554,0.0,0.38561052,0.68006754,0.19031844,0.44836423,1.0,0.45640862,0.8095063,0.17766076,0.08515904,0.14582151,0.03433786
13,2_tg_6.mp4,0.49262848,0.14582968,0.21352851,0.22639592,0.430318,1.0,0.44002363,0.7627304,0.0,0.27937034,0.66149235,0.56524885,0.44666162,1.0,0.4475724,0.7142807,0.024540816,0.22206913,0.4986444,0.7896443
