frame,video_name,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,11_sg_2.mp4,0.28079504,0.25396,0.7733106,0.23088554,0.31650704,1.0,0.5951031,0.95849943,0.0,0.29369953,0.6941526,0.2559286,0.45857143,1.0,0.40941182,0.44918746,0.47926828,0.16496712,0.6014034,0.40115374
1,11_sg_2.mp4,0.28018492,0.27188155,0.76808107,0.23717944,0.36850563,1.0,0.60193807,0.9642198,0.0,0.28642344,0.72370875,0.21969332,0.46697873,1.0,0.48017532,0.5716422,0.115922056,0.18919937,0.5247142,0.38883713
2,11_sg_2.mp4,0.24227771,0.15074421,0.7883952,0.22757834,0.3882103,1.0,0.6798305,0.16809094,0.0,0.20645216,0.7691146,0.34103793,0.41415858,1.0,0.46162495,0.32613727,0.6317174,0.33509675,0.8354564,0.35131156
3,11_sg_2.mp4,0.27003562,0.25262672,0.76832956,0.2381112,0.38808575,1.0,0.6022941,0.9567803,1.0,0.26467812,0.69384086,0.32030323,0.47704113,1.0,0.38020095,0.4130492,0.14810851,0.14997892,0.22709978,0.394192
4,11_sg_2.mp4,0.18713826,0.21719721,0.6591399,0.21825176,0.5237243,0.0,0.6936069,0.9602795,0.0,0.4643024,0.84515655,0.16852029,0.47502264,1.0,0.43774167,0.2813602,0.19952592,0.15353465,0.34010112,0.4447362
5,11_sg_2.mp4,0.21997762,0.14534256,0.8719261,0.2233548,0.5281596,1.0,0.7027776,0.45447397,0.0,0.42228872,0.84564364,0.4692976,0.44261423,1.0,0.4294559,0.27363175,0.83351254,0.3286267,0.31730703,0.362418
6,11_sg_2.mp4,0.21848993,0.16144146,0.86389387,0.22494166,0.6138779,1.0,0.7449924,0.89047503,0.0,0.4647507,0.7432495,0.39537537,0.38805485,1.0,0.42934203,0.32386956,0.6182667,0.22050388,0.35607284,0.7512742
7,11_sg_2.mp4,0.21278481,0.10957023,0.9228558,0.23902017,0.5702083,1.0,0.7365006,0.510868,0.0,0.4844859,0.7340231,0.5362063,0.46796688,1.0,0.4461748,0.29283628,0.5080233,0.30061132,0.4479041,0.39361537
8,11_sg_2.mp4,0.20051846,0.18612474,0.9175699,0.2233548,0.5570606,1.0,0.6961615,0.52608097,0.0,0.5013844,0.7345326,0.45935792,0.48618484,1.0,0.32958302,0.40015066,0.21748124,0.18263483,0.34328485,0.3132901
9,11_sg_2.mp4,0.16762829,0.16608639,0.9215075,0.2233548,0.5050151,1.0,0.7285149,0.5401754,0.0,0.42951044,0.7570508,0.47892538,0.46818152,1.0,0.4020766,0.40940928,0.4259264,0.26961595,0.44216776,0.28026286
