frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.69104785,0.4805107,0.23112236,0.67387635,0.07377725,0.0,0.13144341,0.0022038796,0.0,0.042091746,0.08668972,0.52202666,0.47030088,0.0,0.6136069,0.1756652,0.1483494,0.31356645,0.18585289,0.09668903
1,0.6994238,0.47697824,0.18294741,0.6650014,0.07366176,0.0,0.13928217,0.0046297223,0.0,0.041618712,0.08962383,0.6226688,0.51913106,0.0,0.567982,0.14739135,0.27963614,0.3479632,0.11807552,0.08820245
2,0.74634254,0.77307534,0.1454374,0.5833866,0.06509767,0.0,0.13812102,9.467373e-05,1.0,0.035409678,0.054262143,0.37663287,0.5187762,0.0,0.50052667,0.2846911,0.018444987,0.2157359,0.16870551,0.10225175
3,0.7596984,0.3573353,0.2033169,0.5102196,0.055218574,0.0,0.12220552,0.0064395885,1.0,0.012784163,0.093012184,0.28099877,0.5042084,0.0,0.43368277,0.10159112,0.95662445,0.726337,0.044359222,0.042402495
4,0.71561027,0.41958144,0.48207387,0.47647303,0.053962097,0.0,0.11823928,0.0011642833,0.0,0.015050474,0.18558776,0.40341994,0.41932917,1.0,0.4260643,0.14897457,0.99110293,0.8154789,0.07975377,0.054807093
5,0.4739877,0.49595225,0.18431015,0.4252047,0.08149898,0.0,0.1433412,0.004460238,0.0,0.01725668,0.21068308,0.37881505,0.43084592,0.0,0.4115447,0.18052709,0.99600714,0.8509972,0.27514476,0.05284813
6,0.5538667,0.4389938,0.4132583,0.48019296,0.06751929,0.0,0.11267281,0.11094099,0.0,0.01695099,0.09939588,0.25875047,0.56779814,0.0,0.57830554,0.24507903,0.9984647,0.8735033,0.07968131,0.09542096
7,0.52992976,0.45015776,0.33206302,0.45663214,0.06685095,0.0,0.112622224,0.057438564,0.0,0.0155363595,0.08710975,0.21413524,0.4280199,0.0,0.49979135,0.21251138,0.9988803,0.9234155,0.05120679,0.06687974
8,0.37071884,0.28649062,0.53533244,0.28708172,0.0685488,0.0,0.16476975,0.009449595,0.0,0.012126669,0.116935596,0.5101784,0.5210136,1.0,0.6577884,0.26501277,0.9983374,0.9139904,0.10086975,0.18107693
9,0.36975566,0.50875545,0.39945495,0.32937703,0.062192265,0.0,0.095093794,0.007154817,1.0,0.027901925,0.16063884,0.30136156,0.54922384,0.0,0.44681036,0.17446457,0.89197505,0.92584544,0.16858229,0.041026935
10,0.28188857,0.4092958,0.18585372,0.29144335,0.14343049,0.0,0.11814108,0.028919224,0.0,0.067904845,0.6601205,0.6528939,0.65403897,1.0,0.7729751,0.86970454,0.9481986,0.21796201,0.76685244,0.065007076
11,0.31672415,0.40458626,0.15635933,0.3168489,0.1510108,0.0,0.12211195,0.014658171,0.0,0.06289259,0.6381896,0.580384,0.6429606,1.0,0.7697954,0.8744205,0.9039423,0.30435708,0.6164116,0.06734143
12,0.33813387,0.13899112,0.3332666,0.3794505,0.09366768,0.0,0.11235628,0.040912163,0.0,0.029679779,0.3893559,0.35397378,0.59783584,0.0,0.813115,0.88927364,0.049318083,0.18623857,0.24216503,0.06405976
13,0.38220996,0.23768637,0.4635715,0.4194446,0.18225059,1.0,0.19000682,0.0014443768,0.0,0.03683365,0.6473612,0.6518613,0.67285717,0.0,0.88632494,0.83981365,0.05374794,0.11025261,0.6773497,0.06917942
14,0.31631568,0.18620326,0.29762167,0.36253384,0.09954257,0.0,0.26825288,0.01937983,0.0,0.02346487,0.49951518,0.48798946,0.60229474,0.0,0.87609655,0.87338877,0.05327425,0.09928721,0.53974473,0.038220424
15,0.3609861,0.27811924,0.23682627,0.48248562,0.1450862,0.0,0.14317417,0.005242262,1.0,0.051487446,0.40093043,0.44114488,0.5847202,0.0,0.8562885,0.86818093,0.5149249,0.24023414,0.33792695,0.051513124
16,0.48180673,0.29356545,0.15444061,0.493942,0.15379149,0.0,0.11990476,7.995668e-05,1.0,0.1174389,0.52807677,0.40833855,0.43019062,0.0,0.83164304,0.7329861,0.15358639,0.17625923,0.33327097,0.046737842
17,0.54004914,0.31615195,0.15220009,0.46402168,0.12124284,0.0,0.111447774,0.0037441414,1.0,0.13017973,0.39883366,0.4696933,0.43641025,0.0,0.8184544,0.6854126,0.116117075,0.09812079,0.23529744,0.06183553
18,0.51938,0.26737034,0.13186176,0.39512587,0.13907582,0.0,0.15574703,2.3135262e-05,1.0,0.04982139,0.27145845,0.2311962,0.52357024,1.0,0.8270214,0.70605356,0.3184565,0.19527599,0.20553194,0.08463818
19,0.4688584,0.23061363,0.21210755,0.3691427,0.07831051,0.0,0.11827129,1.7211569e-05,1.0,0.038425762,0.22431995,0.7392722,0.46594614,0.0,0.6304005,0.46764934,0.8576857,0.09881258,0.4418447,0.07698047
20,0.46595114,0.5461807,0.061280772,0.3240257,0.19385187,0.0,0.11331633,0.00012418178,1.0,0.13301325,0.51861644,0.33668408,0.54234093,1.0,0.7519096,0.33108735,0.9383346,0.26336098,0.1267566,0.07011697
21,0.44570518,0.40124148,0.08695943,0.331895,0.19123243,0.0,0.115728356,0.00022840497,1.0,0.11789249,0.41188088,0.5437669,0.5134589,1.0,0.71590245,0.23803623,0.91465396,0.2601744,0.1286093,0.081314206
22,0.46932212,0.30270097,0.15377657,0.3761568,0.18635993,0.0,0.108964786,0.00020796893,1.0,0.1427888,0.39830282,0.49783906,0.55507326,1.0,0.64644283,0.3479758,0.8433932,0.22086774,0.20744827,0.038864665
23,0.4450427,0.26944152,0.15108323,0.3431339,0.15100624,0.0,0.10154261,0.0015441595,1.0,0.06868211,0.4156597,0.33616155,0.554445,1.0,0.7164154,0.60490364,0.8160685,0.3823276,0.20757157,0.077867955
24,0.429279,0.26145667,0.0562591,0.38228622,0.3651092,0.0,0.21601364,0.00422684,1.0,0.401679,0.64753073,0.5692941,0.3427423,1.0,0.7470242,0.22581524,0.99106276,0.48072731,0.34047353,0.10548961
25,0.43595505,0.37061504,0.086944856,0.36118567,0.29077387,0.0,0.23790315,0.0073203216,0.0,0.2568091,0.49549046,0.550194,0.373855,1.0,0.525177,0.40520844,0.9966382,0.37421018,0.049777757,0.08172614
26,0.47602642,0.3561906,0.085676536,0.35937342,0.29077387,0.0,0.23990554,0.009200829,1.0,0.19802247,0.46323276,0.46676385,0.37434635,1.0,0.4685456,0.4066498,0.99302495,0.4463866,0.065952405,0.092202164
27,0.43067452,0.24236467,0.083309814,0.47741258,0.34377715,0.0,0.26341915,0.09774733,1.0,0.24026819,0.531279,0.3000557,0.37686795,1.0,0.5940229,0.48123315,0.99394727,0.43276238,0.03853461,0.18846975
28,0.43002123,0.29312325,0.16542871,0.2663287,0.27649584,0.0,0.22637866,0.058161024,1.0,0.29495612,0.5397502,0.3427017,0.40486622,1.0,0.624303,0.16839585,0.99688727,0.1913755,0.023901025,0.12006812
29,0.4328053,0.27687946,0.12703553,0.29014736,0.22441535,0.0,0.23740837,0.009073836,1.0,0.120527945,0.3972857,0.30118936,0.47126576,1.0,0.7343975,0.3737325,0.91998607,0.16027725,0.1846771,0.13278511
30,0.46306252,0.2670525,0.17390564,0.34072602,0.14395776,1.0,0.1412457,0.00011986517,1.0,0.072821274,0.33366537,0.35666615,0.39750606,1.0,0.57143754,0.37791318,0.6570106,0.10330087,0.04181219,0.12927394
31,0.4420333,0.27261183,0.16736917,0.28139958,0.14755505,0.0,0.17503878,4.6378234e-05,1.0,0.06477183,0.3924615,0.32452893,0.424076,1.0,0.66204995,0.31406784,0.87728095,0.08117027,0.051920705,0.16547258
32,0.39764035,0.29464284,0.16739182,0.39338258,0.24752603,0.0,0.31905693,0.0015486565,0.0,0.18090689,0.7576254,0.38210878,0.46026695,1.0,0.68965834,0.44038793,0.9676825,0.2846619,0.387424,0.053500254
33,0.3589854,0.29541108,0.08061542,0.3866152,0.27130014,1.0,0.22899327,0.17445333,1.0,0.12913094,0.5192461,0.4380864,0.45746675,1.0,0.7294009,0.16192463,0.990466,0.26356933,0.28671327,0.033876404
34,0.41645232,0.24750084,0.2007398,0.38707393,0.21505427,0.0,0.15344168,0.1837256,1.0,0.0536347,0.48859018,0.3670254,0.55880415,1.0,0.831714,0.55081743,0.8136781,0.29043785,0.24687296,0.06063561
35,0.42379284,0.2819484,0.24545778,0.36267132,0.21101733,0.0,0.15048303,0.10337357,0.0,0.05348375,0.46603367,0.46604663,0.5628002,1.0,0.7115882,0.46134397,0.30546212,0.39122605,0.2008659,0.05993861
36,0.42088288,0.26001346,0.13713852,0.36040092,0.21999735,0.0,0.20703334,0.047696892,0.0,0.080037825,0.59159,0.3007101,0.5584789,1.0,0.8094861,0.18996659,0.8975589,0.3763098,0.11799419,0.07593955
37,0.5717554,0.31488052,0.50071126,0.35646844,0.20663644,0.0,0.18867575,0.46816957,0.0,0.098875254,0.5517797,0.3758157,0.43449298,1.0,0.77731776,0.34602538,0.9945585,0.28142852,0.13976999,0.056909617
38,0.40915337,0.26107377,0.18060975,0.43521395,0.120883934,0.0,0.17779338,0.038204774,0.0,0.032576494,0.50264764,0.4646607,0.61868685,0.0,0.72193325,0.8877653,0.0018285424,0.1015145,0.4280062,0.07052196
39,0.42601436,0.47943997,0.09926599,0.32350746,0.25796956,0.0,0.43560475,0.12362927,0.0,0.16272365,0.44864643,0.46159756,0.6645287,1.0,0.5793928,0.6052026,0.20750667,0.17928928,0.18862747,0.13118856
40,0.36448747,0.3670649,0.07737052,0.33485085,0.50774497,0.0,0.34973696,0.46439046,0.0,0.48937386,0.64955926,0.38347155,0.40223008,1.0,0.7744676,0.24031867,0.99463046,0.45538336,0.3427916,0.22735302
41,0.39637983,0.37408146,0.08514509,0.33485085,0.50774497,0.0,0.31920385,0.32920608,0.0,0.5341136,0.6505051,0.4067499,0.4098911,1.0,0.7335411,0.24359517,0.99543506,0.37210307,0.35509104,0.18769126
42,0.3356273,0.23383184,0.27957374,0.28335503,0.45932794,0.0,0.5088507,0.4551509,1.0,0.34256667,0.38484395,0.7307486,0.36933675,1.0,0.56874645,0.05076412,0.99212533,0.58007294,0.12483486,0.5644142
43,0.3647314,0.2352343,0.29391095,0.29749095,0.53778684,0.0,0.55077565,0.0778476,0.0,0.6407599,0.38153392,0.58299595,0.24787873,1.0,0.3199371,0.027393006,0.9905543,0.57277876,0.042300526,0.41418856
44,0.31469777,0.2288982,0.26620802,0.30788273,0.4831695,0.0,0.56097543,0.8367526,1.0,0.64561224,0.55149305,0.666984,0.26789713,1.0,0.47138652,0.06419801,0.9959645,0.67580545,0.11773464,0.19536367
45,0.34544864,0.22522293,0.25945243,0.31020373,0.49539548,0.0,0.5565722,0.7059057,1.0,0.67188257,0.54319936,0.6017564,0.28802118,1.0,0.39290896,0.05732522,0.9963018,0.757672,0.14273871,0.18640484
