frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.4588068,0.17628162,0.3811614,0.4908983,0.0632795,0.0,0.09677392,0.0056557716,0.0,0.020702766,0.2638365,0.6225423,0.44335395,0.0,0.4289929,0.38758257,0.9733061,0.6024463,0.08864782,0.108174816
1,0.47231063,0.20461287,0.3970586,0.4908983,0.062459495,0.0,0.1019042,0.0031901198,0.0,0.022252154,0.25354502,0.5854298,0.44550386,0.0,0.42069113,0.41150317,0.97651106,0.67749363,0.07488905,0.11078612
2,0.36205772,0.1608589,0.5144528,0.5074415,0.07106454,0.0,0.08535475,0.03214728,0.0,0.034659028,0.2774351,0.5261869,0.55605483,0.0,0.62304914,0.3825045,0.8262581,0.70833564,0.41628313,0.15623716
3,0.36089265,0.1556032,0.6382285,0.26297197,0.09356594,0.0,0.46298885,0.0005608422,0.0,0.0452704,0.33555964,0.5306586,0.5799637,0.0,0.59721446,0.5004016,0.8927065,0.6365731,0.37169293,0.5312345
4,0.31996334,0.14066847,0.34552896,0.46068016,0.10664248,0.0,0.10957625,0.0009948437,0.0,0.05485994,0.32949045,0.71540934,0.5565571,0.0,0.56400645,0.7417985,0.8216056,0.69117916,0.39164016,0.11578493
5,0.44934067,0.13780701,0.6089202,0.378202,0.07462399,0.0,0.14112894,0.01953821,1.0,0.040721536,0.2911226,0.37927237,0.5251001,0.0,0.51245284,0.47550553,0.92262083,0.65718174,0.22387052,0.10876169
6,0.4713066,0.1537183,0.56815743,0.2494396,0.08191125,0.0,0.38416928,0.011818449,0.0,0.03685286,0.3327331,0.5595091,0.5521221,0.0,0.7195451,0.355144,0.91348934,0.4252692,0.23772116,0.36419353
7,0.46430594,0.2317207,0.6038799,0.25675112,0.06772813,0.0,0.34921435,0.0007304348,1.0,0.032670822,0.27547702,0.3021995,0.45968592,0.0,0.6258558,0.3195586,0.98866814,0.5768804,0.22528256,0.413695
8,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
12,0.4253874,0.31462613,0.45531514,0.28269452,0.06903056,0.0,0.4184666,0.00034162856,0.0,0.019307852,0.22824028,0.6208757,0.5867357,0.0,0.5540406,0.46597376,0.04939554,0.3540381,0.48413286,0.14084974
13,0.46693537,0.22346734,0.5366183,0.3270458,0.0626547,0.0,0.41266748,7.189776e-05,0.0,0.01273826,0.17123538,0.5557077,0.61627835,0.0,0.61641484,0.5579781,0.5600101,0.46004874,0.51920235,0.14872955
14,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,0.3341632,0.24185346,0.48531973,0.25639784,0.11633913,0.0,0.642437,0.00021404219,0.0,0.022756403,0.2854831,0.59505904,0.53952223,0.0,0.3797894,0.5775989,0.23342668,0.33434638,0.33786315,0.42774937
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,0.36788648,0.16882972,0.5597696,0.35003236,0.09401215,0.0,0.51768076,0.0003535134,0.0,0.021919206,0.24707164,0.32624778,0.45541313,0.0,0.460491,0.43837175,0.45325118,0.45511842,0.32006124,0.23156738
23,0.33061647,0.18611695,0.40725288,0.32548517,0.06924834,0.0,0.5139644,0.00012446428,0.0,0.015005174,0.35522497,0.5508495,0.5502402,0.0,0.48007655,0.40196386,0.47694695,0.36191866,0.3196445,0.3031145
24,0.3225178,0.17683971,0.5557504,0.4149355,0.06783659,0.0,0.1570404,0.00015489195,0.0,0.015882151,0.25593498,0.42512384,0.49673745,0.0,0.7155325,0.5019578,0.8349418,0.46131137,0.4545772,0.07543166
25,0.32668954,0.16189767,0.5691378,0.4880185,0.068208836,0.0,0.15042816,0.00060925155,0.0,0.013787712,0.16296883,0.42679474,0.54577154,0.0,0.7321708,0.45126334,0.16147651,0.35816547,0.8541744,0.048514567
26,0.3275915,0.15592392,0.5257524,0.48990873,0.06692119,0.0,0.15273423,0.0006445632,0.0,0.014702342,0.18336464,0.37535447,0.4994601,0.0,0.75478727,0.45256114,0.21651848,0.39602086,0.83475906,0.046542343
27,0.32620797,0.1618407,0.69828784,0.49313053,0.06976495,0.0,0.18636781,0.0004199552,1.0,0.013736376,0.17363358,0.48644683,0.48499498,0.0,0.7911942,0.55170083,0.078229204,0.45596555,0.8680729,0.04477151
28,0.33506626,0.15696101,0.48981705,0.46272936,0.069070116,0.0,0.19273572,6.537929e-05,1.0,0.017363384,0.2623225,0.46445403,0.51244044,0.0,0.6557713,0.5652628,0.76689255,0.4177676,0.64588135,0.07009371
