frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.0,0.88,1,0.0,0.0,1.34,0.0,0.24,1.68,0.0,0.0,0.0,0.0,0.24,0.39,0.17,0.0,0.0,1.41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0,0.04,0.88,1,0.0,0.0,1.61,0.0,0.19,1.7,0.0,0.0,0.2,0.0,0.14,0.29,0.39,0.0,0.28,1.44,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,0,0.08,0.88,1,0.0,0.0,1.7,0.0,0.16,1.73,0.0,0.0,0.31,0.0,0.06,0.27,0.44,0.0,0.42,1.39,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,0,0.12,0.88,1,0.0,0.0,1.65,0.0,0.16,1.76,0.0,0.0,0.32,0.0,0.1,0.23,0.38,0.04,0.33,1.36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,0,0.16,0.88,1,0.0,0.0,1.53,0.0,0.1,1.56,0.0,0.0,0.36,0.0,0.23,0.3,0.22,0.07,0.18,1.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6,0,0.2,0.88,1,0.0,0.0,1.46,0.0,0.06,1.35,0.0,0.0,0.33,0.0,0.42,0.34,0.18,0.08,0.04,1.28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,0,0.24,0.88,1,0.0,0.0,1.43,0.0,0.01,1.18,0.0,0.0,0.24,0.0,0.53,0.38,0.14,0.07,0.0,1.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0,0.28,0.93,1,0.0,0.0,1.49,0.0,0.0,1.15,0.0,0.0,0.13,0.0,0.59,0.35,0.2,0.06,0.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9,0,0.32,0.88,1,0.0,0.0,1.48,0.0,0.02,1.05,0.0,0.0,0.15,0.0,0.55,0.33,0.23,0.04,0.0,1.23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0,0.36,0.93,1,0.0,0.0,1.53,0.0,0.02,0.97,0.0,0.0,0.18,0.0,0.37,0.47,0.31,0.02,0.0,1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
11,0,0.4,0.88,1,0.0,0.0,1.48,0.0,0.09,0.97,0.0,0.0,0.36,0.0,0.18,0.62,0.32,0.06,0.0,1.39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12,0,0.44,0.88,1,0.0,0.0,1.44,0.0,0.11,1.08,0.0,0.0,0.44,0.0,0.03,0.84,0.22,0.11,0.0,1.16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13,0,0.48,0.93,1,0.0,0.0,1.33,0.0,0.17,1.17,0.0,0.0,0.54,0.0,0.0,1.05,0.09,0.16,0.0,0.87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,0,0.52,0.93,1,0.0,0.0,1.21,0.0,0.29,1.48,0.01,0.0,0.54,0.0,0.0,1.15,0.19,0.13,0.0,0.76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0.56,0.93,1,0.0,0.0,1.12,0.0,0.44,1.49,0.01,0.0,0.61,0.02,0.0,1.22,0.19,0.16,0.16,0.75,0.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0.6,0.88,1,0.0,0.0,0.68,0.0,0.43,1.08,0.01,0.0,0.52,0.02,0.0,1.04,0.19,0.24,0.36,1.09,0.44,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
17,0,0.64,0.98,1,0.02,0.0,0.33,0.0,0.32,0.43,0.0,0.0,0.49,0.04,0.0,1.11,0.0,0.38,0.43,1.5,0.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
18,0,0.68,0.93,1,0.03,0.0,0.09,0.0,0.31,0.59,0.01,0.02,0.32,0.02,0.0,1.3,0.0,0.51,0.27,1.86,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19,0,0.72,0.93,1,0.28,0.0,0.19,0.18,0.3,0.99,0.01,0.02,0.3,0.02,0.0,1.5,0.0,0.63,0.17,1.91,0.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20,0,0.76,0.93,1,0.49,0.0,0.44,0.27,0.21,1.38,0.01,0.02,0.15,0.0,0.0,1.51,0.0,0.6,0.21,1.65,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
21,0,0.8,0.93,1,0.75,0.05,0.54,0.27,0.03,1.41,0.0,0.0,0.09,0.0,0.0,1.41,0.0,0.44,0.21,1.38,0.22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,0.84,0.88,1,0.84,0.33,0.55,0.09,0.0,1.47,0.0,0.0,0.02,0.0,0.0,1.34,0.0,0.18,0.11,1.41,0.23,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0.88,0.88,1,0.99,0.61,0.39,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.05,0.0,1.65,0.22,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,0.92,0.88,1,1.08,0.84,0.42,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,1.7,0.07,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0.96,0.88,1,1.12,0.88,0.61,0.36,0.0,1.82,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.07,1.49,0.16,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,1.0,0.93,1,1.0,0.65,0.93,0.38,0.0,1.98,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.07,1.14,0.12,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
27,0,1.04,0.88,1,0.92,0.46,1.15,0.43,0.0,1.94,0.0,0.0,0.0,0.0,0.03,1.62,0.0,0.0,0.07,0.99,0.16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
28,0,1.08,0.88,1,0.83,0.25,1.3,0.11,0.01,1.78,0.0,0.0,0.0,0.0,0.3,1.6,0.0,0.0,0.08,0.91,0.17,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
29,0,1.12,0.88,1,0.91,0.3,1.3,0.09,0.03,1.87,0.0,0.0,0.0,0.0,0.66,1.42,0.0,0.0,0.14,0.99,0.19,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0,1.16,0.88,1,1.0,0.28,1.25,0.15,0.16,1.92,0.0,0.0,0.0,0.0,0.91,1.43,0.0,0.0,0.48,1.13,0.34,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
31,0,1.2,0.93,1,1.25,0.61,1.16,0.3,0.35,1.99,0.0,0.19,0.05,0.0,0.84,1.58,0.0,0.0,0.58,0.97,0.23,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
32,0,1.24,0.93,1,1.4,0.63,1.11,0.39,0.65,2.02,0.0,0.49,0.18,0.0,0.64,1.53,0.0,0.0,0.93,0.58,0.19,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
33,0,1.28,0.93,1,1.4,0.57,1.06,0.41,0.86,2.09,0.0,0.82,0.36,0.0,0.55,1.44,0.0,0.0,1.07,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
34,0,1.32,0.93,1,1.29,0.11,1.12,0.22,1.03,2.41,0.0,1.1,0.55,0.0,0.4,1.13,0.0,0.0,1.49,0.1,0.04,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
35,0,1.36,0.88,1,1.13,0.0,1.14,0.13,1.12,2.48,0.0,1.47,0.73,0.0,0.27,1.03,0.0,0.0,1.76,0.1,0.07,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
36,0,1.4,0.88,1,1.0,0.0,1.06,0.0,1.16,2.47,0.07,1.75,0.9,0.0,0.09,0.9,0.0,0.0,1.8,0.03,0.07,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
37,0,1.44,0.88,1,0.78,0.0,0.82,0.0,1.21,2.2,0.18,1.93,1.02,0.0,0.03,0.83,0.0,0.0,1.75,0.0,0.03,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
38,0,1.48,0.93,1,0.58,0.0,0.69,0.0,1.19,2.01,0.31,1.85,1.01,0.0,0.0,0.69,0.0,0.0,1.68,0.0,0.04,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
39,0,1.52,0.88,1,0.35,0.0,0.63,0.0,1.33,1.92,0.48,1.85,1.03,0.0,0.0,0.54,0.0,0.0,1.88,0.0,0.04,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
40,0,1.56,0.88,1,0.25,0.03,0.67,0.0,1.4,1.7,0.51,1.88,1.04,0.0,0.05,0.54,0.0,0.0,2.11,0.0,0.09,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
41,0,1.6,0.88,1,0.11,0.03,0.53,0.0,1.46,1.46,0.49,1.96,1.15,0.0,0.17,0.45,0.0,0.0,2.26,0.0,0.1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
42,0,1.64,0.88,1,0.11,0.03,0.42,0.0,1.41,1.23,0.39,1.94,1.21,0.0,0.3,0.35,0.0,0.0,2.24,0.0,0.1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
43,0,1.68,0.88,1,0.0,0.0,0.27,0.0,1.45,1.13,0.3,1.83,1.24,0.0,0.27,0.14,0.0,0.0,2.37,0.0,0.14,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
44,0,1.72,0.88,1,0.05,0.0,0.44,0.0,1.56,1.58,0.41,1.68,1.15,0.0,0.22,0.05,0.0,0.0,2.51,0.0,0.09,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
45,0,1.76,0.88,1,0.05,0.0,0.54,0.0,1.56,1.7,0.47,1.58,1.12,0.0,0.09,0.0,0.0,0.0,2.59,0.0,0.09,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
46,0,1.8,0.88,1,0.05,0.0,0.77,0.0,1.55,2.27,0.55,1.58,1.1,0.0,0.07,0.0,0.0,0.0,2.5,0.01,0.28,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
47,0,1.84,0.88,1,0.0,0.0,0.87,0.0,1.51,2.31,0.47,1.56,1.12,0.0,0.0,0.0,0.0,0.0,2.42,0.01,0.45,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
48,0,1.88,0.88,1,0.0,0.0,0.92,0.0,1.45,2.19,0.32,1.53,1.13,0.0,0.0,0.0,0.0,0.0,2.12,0.01,0.45,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
49,0,1.92,0.93,1,0.0,0.0,0.9,0.0,1.36,1.49,0.19,1.28,1.06,0.0,0.0,0.0,0.23,0.0,1.68,0.16,0.17,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
50,0,1.96,0.88,1,0.0,0.0,0.81,0.0,1.34,0.82,0.05,1.01,1.05,0.12,0.0,0.0,0.74,0.0,1.05,0.18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
51,0,2.0,0.88,1,0.0,0.0,0.7,0.0,1.43,0.76,0.0,0.76,0.9,0.12,0.0,0.0,1.12,0.0,0.59,0.26,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
52,0,2.04,0.88,1,0.0,0.0,0.88,0.0,1.31,0.75,0.0,0.57,0.82,0.12,0.0,0.0,1.08,0.0,0.43,0.11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
53,0,2.08,0.88,1,0.0,0.0,0.85,0.0,1.15,0.97,0.05,0.49,0.75,0.0,0.0,0.0,0.7,0.0,0.4,0.09,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
54,0,2.12,0.88,1,0.0,0.0,0.97,0.0,0.95,0.97,0.05,0.34,0.77,0.0,0.0,0.0,0.32,0.05,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
55,0,2.16,0.88,1,0.0,0.0,0.74,0.0,0.87,1.08,0.0,0.21,0.83,0.0,0.0,0.0,0.0,0.15,0.63,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
