frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.40503865,0.2034333,0.8296658,0.33164683,0.20973822,1.0,0.22267942,0.012849642,1.0,0.066967815,0.52477854,0.14847864,0.5674656,0.0,0.7262673,0.8962194,0.028745448,0.03365798,0.11510663,0.033869974
1,0.5324386,0.1774754,0.9054965,0.30972922,0.2765491,0.0,0.40520248,0.19955105,1.0,0.091530584,0.59286046,0.67413276,0.49023277,1.0,0.7628885,0.82749784,0.06443705,0.029987263,0.14978914,0.032740068
2,0.45119062,0.38601276,0.7812192,0.2721064,0.3932998,0.0,0.77042204,0.22635052,1.0,0.19206125,0.6617442,0.39836788,0.47375697,0.0,0.7688029,0.9349205,0.23796491,0.049010683,0.105040476,0.09115756
3,0.45986313,0.3927839,0.84247977,0.30746242,0.37931737,0.0,0.70136875,0.31496403,0.0,0.24382886,0.79728705,0.27963564,0.38378143,0.0,0.67780125,0.8799199,0.106064335,0.051453423,0.13186541,0.047459666
4,0.29522887,0.2038201,0.72533685,0.29571885,0.3135667,0.0,0.7704011,0.9192774,1.0,0.13704452,0.77547705,0.24238434,0.5044525,1.0,0.7577205,0.83534735,0.72590363,0.0962301,0.074048154,0.07790131
5,0.3626091,0.24872327,0.7810164,0.33344817,0.3379965,0.0,0.7084757,0.58642393,0.0,0.1942412,0.77414215,0.16230334,0.5219308,1.0,0.6846806,0.7581386,0.84692067,0.098545164,0.15912437,0.067158304
6,0.36586112,0.2672803,0.59587926,0.26216522,0.5811886,0.0,0.7283442,0.8765451,1.0,0.48508814,0.7918746,0.15208901,0.4432278,0.0,0.4932559,0.68355805,0.06490115,0.055278383,0.25940424,0.052681398
7,0.32209855,0.2813813,0.6974011,0.30715108,0.5666636,0.0,0.7502323,0.3523258,0.0,0.5425236,0.81313926,0.2793643,0.43538517,0.0,0.62690437,0.8298512,0.08031176,0.04325504,0.34884134,0.086328775
8,0.34040993,0.2726449,0.7061049,0.2749151,0.5889822,0.0,0.72660255,0.14418128,0.0,0.4869486,0.7843251,0.11916333,0.4248824,0.0,0.5349875,0.8243543,0.16833282,0.05640814,0.28474173,0.07743189
9,0.37232694,0.23335294,0.769203,0.24384774,0.5944731,0.0,0.7403743,0.5910729,0.0,0.5940322,0.8565865,0.12843278,0.553578,0.0,0.7618602,0.84417087,0.061534245,0.10614855,0.67034405,0.15536703
10,0.35077026,0.2752491,0.768574,0.24690732,0.6671076,0.0,0.75836575,0.9008769,0.0,0.54538846,0.8060767,0.30283844,0.4803564,1.0,0.5916594,0.7692192,0.1555505,0.16553794,0.26372796,0.18950516
11,0.45626903,0.2806838,0.8180004,0.31843337,0.68033594,0.0,0.7919107,0.34315225,1.0,0.37337664,0.82628036,0.37657547,0.5373369,1.0,0.6931368,0.8826076,0.66708344,0.03177166,0.2052884,0.05459641
12,0.3343457,0.15076602,0.75262207,0.26670495,0.5910279,1.0,0.77470255,0.044319794,1.0,0.6812131,0.80686736,0.36047596,0.5879273,0.0,0.6580994,0.88130283,0.47837564,0.09190555,0.55593663,0.1519177
13,0.34898546,0.3678556,0.5545445,0.25579694,0.5989169,1.0,0.7876414,0.15814428,1.0,0.64000237,0.78085387,0.529879,0.6297184,0.0,0.71542645,0.84540474,0.39624012,0.075356536,0.2584825,0.24829945
14,0.34945735,0.3670743,0.6212149,0.24210648,0.57084954,0.0,0.74630237,0.0023606385,1.0,0.68616176,0.8085621,0.4125566,0.6294051,0.0,0.7164476,0.79530996,0.0246682,0.060688224,0.20674407,0.24092618
15,0.31376925,0.39227298,0.41415015,0.24817139,0.5838641,0.0,0.7283309,0.02466241,1.0,0.59009165,0.7737675,0.31841174,0.6449244,0.0,0.7194826,0.84961766,0.0718782,0.048054263,0.24733649,0.26415876
16,0.3764074,0.2877034,0.58298004,0.24842863,0.6110082,0.0,0.69863516,0.08172142,1.0,0.61564153,0.77417517,0.41381425,0.6473418,0.0,0.56061256,0.83469516,0.016909348,0.040386103,0.15871742,0.08505642
17,0.34083655,0.28526396,0.6997042,0.2921351,0.52859205,0.0,0.6605764,0.003771015,0.0,0.55129856,0.74452055,0.53195626,0.67191076,0.0,0.76853716,0.89254546,0.005949932,0.025059294,0.1897136,0.082722485
18,0.47217223,0.28401658,0.2518026,0.36243883,0.5055905,0.0,0.727838,0.010410058,0.0,0.59318364,0.7966737,0.55451614,0.6601747,0.0,0.7377226,0.9120958,0.018802505,0.028180882,0.25906023,0.08539918
19,0.37598243,0.32125846,0.5702417,0.32888117,0.54079634,1.0,0.6633117,0.10712767,0.0,0.5433104,0.6977949,0.4509999,0.65231025,0.0,0.6888569,0.86445606,0.52672386,0.056604166,0.18656988,0.06661706
20,0.36827442,0.31438065,0.48563418,0.29683608,0.51909876,0.0,0.69013315,0.028784234,0.0,0.60643333,0.73807925,0.7881551,0.6036391,0.0,0.75598073,0.889663,0.05174382,0.03171317,0.1934259,0.10624153
21,0.44754243,0.26354766,0.5818643,0.28255805,0.57065296,1.0,0.7372087,0.031131655,0.0,0.667745,0.73158664,0.44264567,0.6055594,0.0,0.5967918,0.83525693,0.31066272,0.019532558,0.17212456,0.110886924
22,0.4734041,0.36719596,0.53140604,0.2756138,0.55210423,1.0,0.6992502,0.0034058606,0.0,0.4803333,0.80381274,0.5962139,0.6935602,0.0,0.7165855,0.8441227,0.054140978,0.04759948,0.20969972,0.15185902
23,0.48840567,0.36854813,0.53795034,0.3271977,0.5308217,0.0,0.6969426,0.014743797,0.0,0.45975217,0.82709014,0.6963975,0.69452274,0.0,0.71652186,0.86153156,0.03985484,0.03840937,0.2939901,0.08422666
24,0.40878278,0.30471694,0.50978094,0.28163382,0.5672357,0.0,0.68889314,0.092143394,0.0,0.50156665,0.8150661,0.4341587,0.6985321,0.0,0.68016505,0.89168936,0.085797355,0.03688924,0.2750262,0.09757314
25,0.3629938,0.26201388,0.64366543,0.2690556,0.5993498,0.0,0.64200944,0.010482304,0.0,0.582312,0.76045716,0.3113976,0.6563176,0.0,0.6763583,0.8269005,0.20190585,0.08340335,0.29116768,0.17851387
26,0.45732978,0.32332906,0.6366809,0.35632825,0.5870225,0.0,0.6439597,0.13956635,0.0,0.42501974,0.7970782,0.48181996,0.621537,0.0,0.7033088,0.8784593,0.16299476,0.034786142,0.22101198,0.04964041
27,0.47739622,0.38117638,0.5041996,0.33486414,0.55248374,1.0,0.6298035,0.046876457,0.0,0.4425289,0.7632968,0.69556314,0.6280155,0.0,0.6872281,0.87109816,0.2786448,0.060036108,0.10080618,0.07734584
28,0.41100103,0.21554978,0.7511729,0.2802066,0.586787,0.0,0.73409337,0.012484254,0.0,0.57781816,0.7408316,0.626341,0.61165404,0.0,0.7511377,0.84567595,0.024576116,0.091348276,0.63082325,0.19783717
29,0.34601137,0.32236725,0.64468765,0.276263,0.590646,1.0,0.6643455,0.022754803,0.0,0.56495434,0.77997154,0.6668383,0.6193086,0.0,0.68503404,0.7960903,0.043456875,0.05046925,0.22915792,0.09068341
30,0.3652109,0.170525,0.6955072,0.30710873,0.61888367,0.0,0.6174848,0.027485149,0.0,0.40942895,0.7395064,0.67329115,0.62044483,0.0,0.6864338,0.8324447,0.13194633,0.08913341,0.33762625,0.09285274
31,0.4051791,0.3091459,0.7829266,0.34250993,0.5563782,1.0,0.6452079,0.009556014,0.0,0.39967403,0.7153338,0.6591044,0.6074686,0.0,0.6776016,0.8244143,0.35941452,0.061591584,0.38676342,0.0739745
32,0.34679055,0.27743477,0.8460032,0.2677279,0.5693301,1.0,0.72221416,0.48309565,0.0,0.45563823,0.76696503,0.74652684,0.5756768,0.0,0.6832002,0.8665732,0.044796795,0.078409016,0.22052598,0.10507269
33,0.37627444,0.33574456,0.84736925,0.3321485,0.5996679,1.0,0.72495323,0.49069008,1.0,0.46605235,0.7695225,0.8521243,0.5333723,1.0,0.67912483,0.71745,0.6704022,0.14226386,0.1108227,0.082754984
34,0.3519817,0.21611844,0.8551585,0.2890579,0.59655,0.0,0.7289337,0.07696116,1.0,0.48646656,0.7647354,0.6954072,0.60256463,0.0,0.6429193,0.87486845,0.042927537,0.18407024,0.5767542,0.2392275
35,,,,,,,,,,,,,,,,,,,,
36,0.4032276,0.378339,0.50506526,0.27035594,0.57024145,0.0,0.74653655,0.0038075156,0.0,0.47356,0.66959876,0.36489296,0.5993889,0.0,0.5891932,0.65002835,0.004148881,0.11654133,0.4457037,0.14005417
37,0.39090016,0.35873914,0.7859783,0.31515208,0.5510856,0.0,0.72724676,0.013834128,0.0,0.44867313,0.8450157,0.5029861,0.6292955,0.0,0.6723604,0.6676069,0.005250987,0.094467916,0.36107796,0.21193282
38,0.39668882,0.26464525,0.66931087,0.262808,0.5330454,0.0,0.7204593,0.008588311,0.0,0.6966441,0.6439444,0.37117907,0.57538265,0.0,0.6005691,0.65540355,0.009227056,0.021209653,0.48335654,0.22069249
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,0.5279697,0.500592,0.49106005,0.35335663,0.35909674,1.0,0.5293252,0.045307945,1.0,0.29733416,0.68890715,0.51509786,0.6748211,0.0,0.7312471,0.82353586,0.00231459,0.11106139,0.63221294,0.0645436
54,0.406821,0.49867672,0.40634283,0.32287556,0.38119966,0.0,0.5486888,0.04671472,1.0,0.12723078,0.7486674,0.48161072,0.6457124,1.0,0.74633247,0.8680766,0.02744817,0.13839145,0.35030377,0.06717054
55,0.4506437,0.38209832,0.40740898,0.36867628,0.43133456,1.0,0.5220038,0.006082078,0.0,0.3213921,0.7184338,0.6493369,0.6261978,0.0,0.6295079,0.8693283,0.021135315,0.054842006,0.33415893,0.06276024
