frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.28515023,0.3033463,0.5868632,0.25837436,0.30391365,1.0,0.59894776,0.026111001,1.0,0.24370849,0.24968018,0.1546784,0.22428069,1.0,0.34549218,0.022107305,0.9997143,0.7946733,0.20162228,0.7845554
1,0.29616398,0.2526909,0.62120533,0.25739413,0.2938871,0.0,0.5956702,0.006997288,1.0,0.16004515,0.25573048,0.053687755,0.20847349,1.0,0.3507751,0.037542038,0.9984175,0.7525012,0.29719257,0.7683212
2,0.25816151,0.1694159,0.43123853,0.21357541,0.3541628,1.0,0.5244815,0.016106917,1.0,0.17226715,0.23091957,0.17092869,0.18315293,1.0,0.22185588,0.011339625,0.99962854,0.71891296,0.09873753,0.880383
3,0.24766448,0.1803142,0.4440822,0.2170115,0.29899135,1.0,0.65681136,0.23261315,1.0,0.1601399,0.20334734,0.25788903,0.2535213,1.0,0.16077884,0.027106054,0.9998679,0.81249636,0.07784854,0.8840489
4,0.22322479,0.1417767,0.51995903,0.21792655,0.34752592,1.0,0.598107,0.0027348083,1.0,0.1814487,0.16475046,0.09686299,0.15321982,1.0,0.3057304,0.008308711,0.9997731,0.74403065,0.1308445,0.91385114
5,0.22764468,0.2732262,0.55607736,0.21794584,0.35684517,1.0,0.69882226,0.037712526,1.0,0.17373364,0.17649226,0.17375194,0.16108139,1.0,0.2805733,0.008901189,0.99964595,0.7828152,0.094829135,0.9011648
6,0.23861305,0.16441813,0.32996777,0.23201746,0.3757247,0.0,0.77470857,0.2936472,1.0,0.16684109,0.18725926,0.28046614,0.25881064,1.0,0.25624102,0.02281951,0.9997491,0.857923,0.19817254,0.8791934
7,0.2493297,0.2801584,0.49212852,0.23364732,0.40142313,1.0,0.70925015,0.44447044,0.0,0.30921972,0.14851403,0.23730783,0.28443164,1.0,0.25508302,0.016282089,0.99759406,0.79077524,0.21479942,0.82056457
8,0.27472258,0.2854231,0.30486512,0.23364732,0.39936215,1.0,0.6876695,0.08683917,0.0,0.36297506,0.1783186,0.33338246,0.2690754,1.0,0.26922545,0.031189159,0.9994529,0.730786,0.17725036,0.84231955
9,0.28926334,0.24872221,0.2108608,0.23364732,0.52015835,1.0,0.67501503,0.013156401,0.0,0.16850875,0.21961144,0.3706551,0.30834803,1.0,0.2829596,0.020876104,0.99933857,0.8067232,0.122127876,0.7367243
10,0.28612888,0.22711094,0.28975278,0.23434708,0.5698362,1.0,0.6607338,0.007911554,1.0,0.13249564,0.19426934,0.3278253,0.1687571,1.0,0.35685495,0.011539142,0.99959785,0.78602505,0.15096246,0.73354554
11,0.36742395,0.34668055,0.260804,0.3295173,0.512127,0.0,0.2089746,0.29631904,1.0,0.23378907,0.17497462,0.2023279,0.36149472,1.0,0.53171533,0.0093403375,0.999928,0.8455059,0.42808622,0.15369818
12,0.40539482,0.52591485,0.35571307,0.3381978,0.5315819,1.0,0.23693635,0.25876954,1.0,0.58954966,0.35108465,0.15431572,0.24463196,1.0,0.46987805,0.035850175,0.999858,0.39416787,0.2088968,0.09529156
13,0.48818934,0.4790338,0.2613302,0.34578577,0.3958304,1.0,0.21847077,0.9766956,1.0,0.48577312,0.44462427,0.2669672,0.2667578,1.0,0.61106914,0.08170194,0.9993818,0.43766347,0.35274366,0.102872044
14,0.46851447,0.42051163,0.2435309,0.34008047,0.4817275,0.0,0.23158345,0.80645716,0.0,0.45425257,0.3999125,0.22035256,0.25917462,1.0,0.56841767,0.09992923,0.999874,0.37228286,0.47415328,0.094795935
15,0.39408317,0.36860478,0.31758666,0.34156522,0.35464916,1.0,0.18998663,0.87070024,0.0,0.5408706,0.3927396,0.20374839,0.25220886,1.0,0.4745855,0.041579936,0.9997595,0.5604802,0.076616965,0.13378157
16,0.31902373,0.477169,0.2006501,0.34455574,0.476536,0.0,0.21325724,0.52012026,0.0,0.5059801,0.27224374,0.076188944,0.3218514,1.0,0.43174013,0.014093842,0.9999249,0.73658514,0.19764675,0.13836597
17,0.27829528,0.4130342,0.19057573,0.3424113,0.5386935,0.0,0.33026168,0.677314,0.0,0.4991959,0.22134222,0.14666198,0.31058,1.0,0.3948208,0.005885902,0.99982786,0.7437811,0.39401287,0.10186585
18,0.544945,0.3936604,0.5508474,0.3348595,0.58147454,0.0,0.45057213,0.5633479,1.0,0.5059951,0.19846706,0.13535543,0.3143204,1.0,0.37702483,0.008633463,0.9997516,0.71898466,0.1633683,0.11538549
19,0.4600426,0.35959712,0.35373685,0.2484885,0.6923892,0.0,0.65726626,0.7770446,0.0,0.61879665,0.30415732,0.2618043,0.17013337,1.0,0.301599,0.013557825,0.9997992,0.63386756,0.1323321,0.44523507
20,0.43711576,0.25408056,0.47507584,0.30485865,0.75660866,1.0,0.78308916,0.91343766,0.0,0.72370464,0.23514073,0.13321042,0.18980123,1.0,0.32695326,0.0085725235,0.99992657,0.82736456,0.06835724,0.74512047
21,0.38383853,0.36330265,0.5341481,0.23505233,0.8205575,1.0,0.6939962,0.47428122,1.0,0.6934731,0.26202884,0.11160314,0.14637724,1.0,0.25282273,0.0072196517,0.9999385,0.6857323,0.031336427,0.81773615
22,0.30637005,0.34186712,0.32198995,0.24071185,0.7153646,1.0,0.62948495,0.59137404,1.0,0.8413595,0.2265836,0.14950843,0.17427127,1.0,0.26829496,0.0110887345,0.9998652,0.776643,0.01693693,0.8381623
23,0.28533712,0.2935721,0.28295705,0.24196887,0.7899392,1.0,0.649228,0.584648,1.0,0.85897875,0.24759255,0.13389851,0.1317088,1.0,0.27443483,0.006692106,0.999956,0.7738672,0.023036068,0.84104097
24,0.2955713,0.26419893,0.23762368,0.24413481,0.6794334,1.0,0.68500704,0.9258607,1.0,0.81787974,0.2114522,0.20015727,0.16451468,1.0,0.37683195,0.008256181,0.9999926,0.8540143,0.041752473,0.9077972
25,0.3096205,0.2015863,0.38615233,0.24299632,0.67209864,1.0,0.5556444,0.5920063,1.0,0.45503992,0.34659693,0.11508727,0.16217698,1.0,0.2051043,0.00640279,0.99985003,0.79073596,0.09952131,0.90127355
26,0.32988086,0.24337131,0.15706916,0.23613894,0.6713653,1.0,0.4640421,0.0733369,1.0,0.45241234,0.25199082,0.08694338,0.18378963,1.0,0.29262322,0.015587787,0.99982196,0.8196547,0.018507712,0.89319855
27,0.31474826,0.14688167,0.42481983,0.23613894,0.52329206,0.0,0.55213475,0.12902123,1.0,0.32163343,0.20530508,0.10755564,0.17502613,1.0,0.34735525,0.013673121,0.9996152,0.73587483,0.15803318,0.9117297
28,0.33120313,0.19497901,0.21002494,0.23613894,0.46904296,1.0,0.52360255,0.0006530088,1.0,0.32541853,0.27929112,0.09065102,0.19889428,1.0,0.26086074,0.016762966,0.9997522,0.76864606,0.08918643,0.9075322
29,0.29926324,0.17513648,0.3268324,0.25225118,0.47431102,1.0,0.5711099,0.016988806,0.0,0.35499534,0.2699389,0.052203257,0.1543022,1.0,0.19675124,0.009344689,0.9998078,0.8517525,0.01137064,0.9299222
30,0.34265757,0.28833082,0.34331292,0.23843333,0.45874643,0.0,0.6254568,0.010092301,0.0,0.3676497,0.25269186,0.06371983,0.19513984,1.0,0.16747865,0.012727374,0.9976566,0.750936,0.022916207,0.86017436
31,0.27581134,0.2087307,0.44797036,0.24382253,0.46988142,1.0,0.67434746,0.23900683,1.0,0.27453458,0.33926097,0.08310955,0.13865983,1.0,0.17893212,0.0073083355,0.9995178,0.82079864,0.022683123,0.8498544
32,0.33132115,0.15576543,0.22408408,0.23267233,0.66739213,0.0,0.6571802,0.15785137,1.0,0.27594686,0.39063948,0.0499014,0.12589037,1.0,0.09982634,0.006460321,0.99987483,0.83318466,0.013811423,0.88182956
