frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.45069468,0.11647754,0.48426193,0.28290015,0.13334134,1.0,0.6129446,0.012501108,0.0,0.05295673,0.3603839,0.2693909,0.47570848,0.0,0.51996773,0.67515415,0.4466858,0.3758952,0.28802782,0.43695337
1,0.32372215,0.12994476,0.6162013,0.28067607,0.18821298,0.0,0.7606462,0.010800394,1.0,0.0697215,0.5084512,0.2083369,0.4351214,0.0,0.6364101,0.75551194,0.3882271,0.61621034,0.15422644,0.4451297
2,0.31195757,0.16980362,0.35908777,0.26076874,0.17602634,1.0,0.6326243,6.9494134e-05,1.0,0.07134788,0.2760638,0.17799647,0.47751907,0.0,0.5486113,0.7026954,0.32719272,0.30345646,0.49945968,0.2888264
3,0.32807145,0.13553753,0.4116764,0.2557268,0.16930015,0.0,0.5890056,0.0012433508,1.0,0.07447644,0.38258153,0.11736817,0.4542095,0.0,0.48666173,0.6259129,0.25697342,0.27807325,0.74302524,0.14983794
4,0.2690287,0.121523134,0.660127,0.35522974,0.176472,0.0,0.15076911,0.01034563,1.0,0.06759077,0.30137438,0.1030877,0.4255554,0.0,0.4457208,0.7376909,0.09160831,0.26465127,0.8018135,0.057931863
5,0.3392036,0.17434508,0.60886836,0.35905078,0.17669462,1.0,0.15552986,0.0050118226,0.0,0.044626262,0.2906911,0.19614871,0.41403085,0.0,0.4501037,0.81104046,0.3649678,0.4663842,0.40360692,0.039453477
6,0.40792814,0.15237705,0.5354681,0.36721385,0.14508443,0.0,0.14131656,0.0014038219,0.0,0.044894274,0.3718905,0.3173768,0.39521003,0.0,0.4493144,0.7496771,0.4561007,0.3182449,0.3350704,0.0421238
7,0.4224905,0.14127405,0.5228244,0.36207372,0.121639386,0.0,0.1778322,0.0075924383,0.0,0.05521522,0.35739687,0.42046195,0.39152756,0.0,0.46731442,0.79461,0.6878683,0.29286417,0.32288042,0.043002937
8,0.2534687,0.13230082,0.5946599,0.36419076,0.20072202,0.0,0.1628693,0.0030327705,0.0,0.036637217,0.40061045,0.38389066,0.37323835,0.0,0.44361055,0.5503315,0.9940553,0.3950513,0.20524448,0.033001054
9,0.26758334,0.12850015,0.68650526,0.39521548,0.17131536,0.0,0.15066507,0.013326916,0.0,0.037529755,0.28145608,0.36261964,0.31357083,1.0,0.3629848,0.47029242,0.9944219,0.66555655,0.15698749,0.030539613
10,0.24494283,0.096071236,0.5316151,0.3656525,0.23600438,0.0,0.14205839,0.0016924338,0.0,0.10534737,0.167438,0.3385571,0.37012962,1.0,0.27852562,0.38418692,0.99814904,0.6492573,0.10873617,0.040614102
11,0.2639751,0.16620457,0.68045944,0.58780134,0.1901064,0.0,0.15517394,0.025039176,1.0,0.13753028,0.2359154,0.5613174,0.3278106,1.0,0.30767837,0.18492572,0.99599576,0.84289944,0.044594284,0.0640626
12,0.4510076,0.13423242,0.58948755,0.61909074,0.15950657,0.0,0.16166267,0.030757837,0.0,0.081232466,0.4145123,0.17388864,0.32519048,1.0,0.28244233,0.19091627,0.99348176,0.8052352,0.07806479,0.0462915
13,0.39349297,0.20004101,0.40614134,0.61790985,0.14241153,0.0,0.17941752,0.7573496,0.0,0.099338524,0.4066017,0.42793134,0.37040886,0.0,0.6231156,0.23753631,0.974899,0.62944335,0.08897603,0.05972775
14,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,0.3279734,0.2557285,0.3673172,0.5105939,0.11936422,0.0,0.18490656,0.01472059,0.0,0.067350686,0.482916,0.4609409,0.5357238,0.0,0.6915228,0.56749314,0.2830621,0.3084689,0.69404197,0.04279768
19,0.3539464,0.20131698,0.5704414,0.42637822,0.14511384,0.0,0.17275235,0.11257775,0.0,0.08673955,0.49381074,0.75950134,0.45663625,0.0,0.4903459,0.3870105,0.60419035,0.2662781,0.36216202,0.08882014
20,0.32857352,0.20413952,0.4682841,0.35460618,0.13788992,0.0,0.15735848,0.09733142,0.0,0.06018696,0.46649405,0.41871646,0.51111823,0.0,0.733599,0.5872269,0.9364942,0.34779832,0.65427923,0.08110689
21,0.31932053,0.19520405,0.51357603,0.37897843,0.14207715,0.0,0.1438494,0.29789928,0.0,0.065852046,0.45152032,0.36453918,0.48711142,0.0,0.7588231,0.48765886,0.9947002,0.4280067,0.7677636,0.1565146
22,0.39818385,0.15909865,0.7344668,0.28047088,0.16912766,0.0,0.36105466,0.12522459,1.0,0.053447988,0.41074497,0.5188116,0.51535696,0.0,0.6869715,0.40815258,0.97767353,0.44935983,0.4079125,0.39876455
23,0.4561104,0.1563011,0.671809,0.27159983,0.18015094,0.0,0.3371369,0.019353483,1.0,0.06880438,0.2687467,0.3957848,0.51583326,0.0,0.621152,0.28926033,0.9615843,0.44247147,0.25035843,0.2726592
24,0.46315807,0.14009199,0.43261862,0.25425217,0.17298155,0.0,0.33920673,0.024610866,1.0,0.05850417,0.2854203,0.30765417,0.5196736,0.0,0.70308846,0.24232228,0.82329625,0.35630372,0.3931959,0.30146903
25,0.42954016,0.17265885,0.39631176,0.2582706,0.16026047,0.0,0.32672337,0.008656887,1.0,0.0701513,0.22134428,0.23795407,0.43103278,0.0,0.4978737,0.2511579,0.5880542,0.398252,0.2710224,0.27752006
26,0.45199427,0.18471347,0.6368406,0.22916773,0.17667277,0.0,0.32656506,0.035455532,0.0,0.07973657,0.26303348,0.17885344,0.46805206,0.0,0.5717545,0.4115901,0.6718793,0.24745752,0.32097706,0.37179273
