frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.26767763,0.089100845,0.22222702,0.23508404,0.5004553,1.0,0.62202495,0.004691436,1.0,0.2543098,0.65576625,0.19188073,0.3743121,1.0,0.35877204,0.0674888,0.9593979,0.37167558,0.067144565,0.859861
1,0.34015727,0.16090733,0.37440136,0.23752783,0.8049275,1.0,0.61688143,0.0111804195,1.0,0.83646923,0.44231805,0.1726557,0.29507232,1.0,0.27969328,0.05177607,0.99353516,0.3833767,0.02889401,0.46880493
2,0.37152427,0.230591,0.3901997,0.22332336,0.89559865,1.0,0.69209194,0.8932256,1.0,0.8224476,0.522138,0.097144015,0.25239262,1.0,0.30627844,0.0265978,0.9997888,0.5600785,0.045438353,0.7932338
3,0.40660986,0.17283754,0.45706445,0.22332336,0.9143466,1.0,0.67904985,0.8605239,1.0,0.85623485,0.47166908,0.12195715,0.28341177,1.0,0.23754938,0.03128677,0.99993336,0.5691576,0.05917853,0.74333537
4,0.32928172,0.3341909,0.41125417,0.22332336,0.8645086,1.0,0.6811748,0.18004446,1.0,0.85194904,0.49211025,0.17107446,0.38161334,1.0,0.19109516,0.043143664,0.9998996,0.65170366,0.03242674,0.6856382
5,0.33086067,0.35102308,0.40317157,0.22332336,0.9103177,1.0,0.6472038,0.76147044,1.0,0.89059097,0.46096978,0.15676422,0.2778986,1.0,0.27534506,0.0466301,0.999086,0.6152151,0.026152022,0.71885896
6,0.40347242,0.18390347,0.4121805,0.22259079,0.8893098,1.0,0.6233589,0.20460674,1.0,0.9056913,0.53548753,0.16098377,0.22972448,1.0,0.2846593,0.042656984,0.99978036,0.3623728,0.074926354,0.5148597
7,0.40237212,0.16369995,0.26219857,0.22259079,0.85887367,1.0,0.6117049,0.19132574,1.0,0.89525515,0.50572413,0.23589782,0.22852585,1.0,0.22623593,0.028953765,0.99708027,0.32333505,0.03660874,0.51489395
8,0.31198928,0.22253996,0.53956926,0.23699546,0.86730117,1.0,0.6299607,0.4611747,1.0,0.8904389,0.5389548,0.07781586,0.22368222,1.0,0.25025344,0.025154006,0.9993057,0.38196087,0.02464555,0.20136806
9,0.37374634,0.259429,0.5673698,0.23699546,0.8802484,1.0,0.6166573,0.16608691,1.0,0.8901601,0.5615612,0.11146314,0.23852469,1.0,0.2569707,0.042501055,0.9998211,0.38984048,0.024373513,0.25344303
