frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.36701873,0.1825309,0.29309714,0.31233796,0.23230419,0.0,0.7485304,0.010026238,0.0,0.08565269,0.58175594,0.26205033,0.5259317,0.0,0.5803635,0.75375587,0.12895961,0.0725053,0.18961103,0.12703533
1,0.38902858,0.2956653,0.35685807,0.29907644,0.5100448,0.0,0.64278936,0.05073093,0.0,0.22241133,0.55973446,0.57088935,0.6070768,1.0,0.5379475,0.7958229,0.7452345,0.055723347,0.12955976,0.11223921
2,0.43545532,0.2306737,0.5520468,0.26648045,0.6422181,0.0,0.712374,0.21940693,0.0,0.49763077,0.61010045,0.42251927,0.5869992,0.0,0.6950396,0.61025625,0.1935579,0.11581759,0.2066689,0.3393477
3,0.4200116,0.11149601,0.34088498,0.34150922,0.17161262,0.0,0.48519892,0.034283068,0.0,0.07066449,0.35911337,0.26114038,0.52556056,0.0,0.56983715,0.41258,0.6021119,0.09450022,0.1775438,0.54949665
4,0.68931377,0.27855295,0.67772365,0.31448087,0.35822728,0.0,0.68545246,0.20746711,0.0,0.24292274,0.67878336,0.7591993,0.6325166,0.0,0.6079881,0.8241249,0.01943603,0.13830958,0.70843416,0.19746394
5,0.578195,0.367696,0.6423365,0.2513843,0.4873237,0.0,0.72404623,0.24722348,0.0,0.31275922,0.7290204,0.6174493,0.66180485,0.0,0.64834946,0.8520092,0.013773059,0.18240888,0.7162044,0.52777225
6,0.4223364,0.3228114,0.7518704,0.23997861,0.5720571,0.0,0.6775702,0.072423734,1.0,0.47486275,0.7477958,0.7531337,0.68347484,1.0,0.5500961,0.82249486,0.010580363,0.16463889,0.88891166,0.31888378
7,0.351695,0.2447465,0.71859425,0.24388352,0.5168793,0.0,0.66643333,0.40477458,0.0,0.5503451,0.7571775,0.3962369,0.64224464,0.0,0.54716325,0.7193654,0.0022523743,0.15964696,0.60271055,0.7249256
8,0.3896928,0.29729825,0.5769837,0.24200168,0.51416856,0.0,0.6389054,0.052936826,1.0,0.57375556,0.7788819,0.3989893,0.6254433,0.0,0.60894686,0.83809936,0.00045636419,0.09798503,0.79370564,0.39924952
9,0.3905697,0.25549605,0.7044884,0.28002712,0.50358486,0.0,0.6157228,0.0029344996,1.0,0.5100134,0.7336548,0.37712154,0.67005956,0.0,0.6628621,0.80970323,0.0021365434,0.12622568,0.7387441,0.2989713
10,0.46496332,0.3581004,0.7884995,0.2404161,0.5223298,0.0,0.68307745,0.06485108,1.0,0.41297242,0.74386466,0.54179424,0.6314721,0.0,0.6792479,0.80517817,0.00032171461,0.12181066,0.7789228,0.35085952
11,0.41172606,0.46650898,0.7961017,0.27297154,0.49972776,0.0,0.6383117,0.03516643,0.0,0.49255347,0.7562169,0.47758746,0.463338,0.0,0.63390803,0.6359306,0.0020160377,0.03919973,0.60403305,0.32255036
12,0.44770122,0.41717806,0.80765694,0.2637896,0.5461509,0.0,0.64100885,0.1810015,0.0,0.5514175,0.77712464,0.17051281,0.5140224,0.0,0.43813446,0.6359591,0.00045637658,0.09247423,0.3106183,0.26582348
13,0.35094288,0.3091416,0.767492,0.26700228,0.5041003,1.0,0.66215307,0.02006378,1.0,0.52279514,0.73073715,0.23110065,0.55860883,1.0,0.6477451,0.7531232,0.0013276145,0.06144214,0.5130168,0.3248563
14,0.39487794,0.33190775,0.89570606,0.24025993,0.54708934,0.0,0.62559617,0.022847384,0.0,0.63223535,0.7773935,0.30011454,0.51931643,0.0,0.5172919,0.5254164,0.0007011884,0.11507666,0.2483335,0.7713564
15,0.49601167,0.2557979,0.6567151,0.28934416,0.5302318,0.0,0.71992266,0.08100731,0.0,0.36136553,0.7854887,0.6034125,0.5932281,0.0,0.6479643,0.7071305,0.0010239879,0.12178069,0.7531402,0.27415445
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,0.53672886,0.35438976,0.44436994,0.4042282,0.33596495,0.0,0.24631126,0.60990655,0.0,0.09940563,0.6895131,0.20215836,0.47826308,1.0,0.61170954,0.7551665,0.09740505,0.11167245,0.13552922,0.059753463
59,0.45658287,0.36320952,0.33121747,0.3859998,0.2721744,0.0,0.30173674,0.14015627,0.0,0.1144208,0.6613617,0.19034597,0.62719214,1.0,0.6866175,0.8531412,0.0035585875,0.10675357,0.090748005,0.091841705
60,0.39450252,0.33720103,0.55388373,0.39687845,0.28029922,0.0,0.2574469,0.14813358,0.0,0.090272345,0.62260985,0.2801878,0.6303005,1.0,0.69945824,0.7686206,0.01900925,0.078307256,0.1265387,0.049597047
