frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.42280942,0.365966,0.11931436,0.51070845,0.1571143,0.0,0.1455327,0.14604768,0.0,0.14240809,0.23222525,0.15861051,0.48676708,0.0,0.44233587,0.55461544,0.34587887,0.08807163,0.033354506,0.041849483
1,0.4069036,0.3370496,0.13946119,0.5158756,0.15437044,0.0,0.14175539,0.012838209,0.0,0.14821993,0.2506026,0.3126247,0.5071088,0.0,0.47399244,0.52935076,0.5442065,0.07435513,0.04278779,0.0275929
2,0.40764233,0.20369238,0.30366218,0.3945808,0.21819659,0.0,0.13405682,0.0071052364,1.0,0.14502497,0.18634987,0.121169455,0.5271764,0.0,0.43614215,0.5109111,0.07028476,0.062868975,0.053876057,0.04109538
3,0.6397549,0.36890396,0.1665824,0.47430074,0.19848366,0.0,0.16692796,0.08738504,0.0,0.15194039,0.26014817,0.32542437,0.5410063,0.0,0.5453256,0.5375371,0.29827604,0.084463544,0.076498896,0.095705405
4,0.52823985,0.20456587,0.44524103,0.410664,0.19951084,0.0,0.20624793,0.23222281,0.0,0.101378396,0.18116166,0.606776,0.4548988,0.0,0.5393143,0.56240207,0.37845254,0.13335732,0.27909744,0.05526423
5,0.47689825,0.22309321,0.30694526,0.5713207,0.1333127,0.0,0.15816252,0.08779962,0.0,0.046417598,0.16953923,0.35214984,0.52836335,0.0,0.65363294,0.5755609,0.086852364,0.12051192,0.23500003,0.051991176
6,0.39160207,0.2577082,0.3597804,0.5608711,0.12726803,0.0,0.15886597,0.025039025,0.0,0.0497469,0.21303916,0.14799389,0.40988404,0.0,0.5130227,0.52098054,0.070129536,0.10927817,0.1422966,0.038003866
7,0.36242223,0.27517244,0.38022026,0.55268735,0.12558861,0.0,0.14456497,0.018534187,0.0,0.05704065,0.27489623,0.18552689,0.43265998,0.0,0.5160312,0.50301266,0.09884556,0.14559305,0.17011906,0.057717398
8,0.33237967,0.27901596,0.23250867,0.45027927,0.13008288,0.0,0.12171306,0.0002944073,0.0,0.07714966,0.16626716,0.18280151,0.43113583,0.0,0.40123618,0.35596567,0.1614746,0.123539925,0.118548505,0.02705206
9,0.44396314,0.2937169,0.35300872,0.61384016,0.11311851,0.0,0.13604845,0.014361423,0.0,0.045333475,0.22061309,0.53406936,0.46884465,0.0,0.644855,0.47328737,0.03932012,0.08997747,0.22093913,0.038907558
10,0.46117362,0.24349193,0.3666754,0.5471767,0.11100683,0.0,0.15932867,0.0046148263,1.0,0.052651647,0.17530565,0.35945752,0.49089488,0.0,0.4392419,0.5273234,0.56398267,0.1731326,0.10454013,0.039209746
11,0.3139879,0.11796009,0.27951863,0.6315998,0.10708144,0.0,0.14271978,0.0027207343,1.0,0.035839744,0.23297164,0.1307051,0.3958407,0.0,0.72225887,0.33481306,0.41944733,0.17121406,0.20177546,0.0780026
12,0.4067579,0.12514326,0.33747295,0.44972727,0.10143125,0.0,0.12978369,0.022433287,1.0,0.028981233,0.19215696,0.09887262,0.36428392,0.0,0.6180303,0.18992063,0.9781472,0.39606118,0.05014648,0.050631694
13,0.44609198,0.1674784,0.44933286,0.537597,0.09106942,0.0,0.1318519,0.0010859505,1.0,0.037015926,0.2650733,0.07617169,0.43175477,0.0,0.70347303,0.13503273,0.9702168,0.43018326,0.08914228,0.05897146
14,0.32696766,0.15162975,0.24381599,0.5160738,0.12067287,0.0,0.12060097,0.00039677846,1.0,0.038887452,0.2987741,0.056620426,0.6168779,0.0,0.7016112,0.21185605,0.943478,0.5295801,0.095655486,0.049648233
15,0.31628135,0.28935328,0.14617641,0.50122195,0.1186466,0.0,0.116707355,3.8370934e-05,1.0,0.083965614,0.29884288,0.09993,0.65529025,0.0,0.5312451,0.45762837,0.6547544,0.2327158,0.13652477,0.042235535
16,0.36209252,0.11551644,0.36546454,0.4911607,0.11218821,0.0,0.13149941,0.00051102525,0.0,0.031003557,0.23794332,0.054016028,0.534696,0.0,0.514184,0.4828526,0.3961156,0.25432622,0.08956645,0.028550452
17,0.38269758,0.17795691,0.2798916,0.51336575,0.11813313,0.0,0.13021398,0.00043553047,1.0,0.05072616,0.37272814,0.09143911,0.5801264,0.0,0.67724246,0.56368446,0.3577105,0.26773018,0.13795263,0.042082287
18,0.37941644,0.23310666,0.43234324,0.51453424,0.10938323,0.0,0.14194043,0.00037296268,1.0,0.07948453,0.4221758,0.2523592,0.53332216,0.0,0.6879488,0.58931226,0.19475909,0.13948758,0.16587302,0.03831283
19,0.47840425,0.25632983,0.43812332,0.51304364,0.10266493,0.0,0.13522893,0.008545757,1.0,0.059653092,0.2949866,0.21875285,0.4385471,0.0,0.517012,0.6920321,0.49914128,0.15743448,0.17670357,0.031006519
20,0.39135075,0.17143784,0.4965381,0.5274059,0.11892851,0.0,0.1319501,0.0038813893,1.0,0.04138573,0.3255966,0.15098804,0.57147133,0.0,0.5257936,0.56574935,0.051658653,0.10789906,0.15318021,0.038258515
21,0.3244155,0.23956084,0.37608495,0.5815823,0.11842653,0.0,0.13011348,0.002790985,1.0,0.036736347,0.45147133,0.18605816,0.47223294,0.0,0.6380097,0.44400322,0.12524371,0.1014424,0.11615487,0.03666592
