frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.42803428,0.15284254,0.8510511,0.2778352,0.7900553,1.0,0.77896076,0.32721725,1.0,0.655197,0.344951,0.20747119,0.22759171,1.0,0.14115006,0.011768566,0.99850535,0.7364495,0.022513214,0.8194779
1,0.47790787,0.13596511,0.60406774,0.24345143,0.7389646,1.0,0.72573483,0.7055042,1.0,0.69615304,0.47019547,0.14680432,0.2374065,1.0,0.1272742,0.011106144,0.99891675,0.74707717,0.023085883,0.79750925
2,0.55656075,0.2388061,0.44900885,0.26588744,0.7651791,1.0,0.7806942,0.69768715,1.0,0.67928123,0.41692054,0.40950617,0.2567896,1.0,0.16940975,0.01005777,0.99874324,0.853434,0.006910822,0.8877253
3,0.46258587,0.17807373,0.45415282,0.26289144,0.7449729,1.0,0.7394528,0.11028601,1.0,0.5581494,0.5688873,0.23051716,0.23207071,1.0,0.25632817,0.007133127,0.99660575,0.8401521,0.020970432,0.73982227
4,0.44472098,0.18942529,0.5294108,0.26289144,0.7388597,1.0,0.7255784,0.054104872,1.0,0.56624967,0.5070623,0.31142196,0.23772414,1.0,0.25327113,0.008399809,0.9891649,0.8573046,0.06319763,0.7752798
5,0.44527987,0.1953273,0.46407035,0.2691853,0.73378855,1.0,0.7290237,0.11719649,1.0,0.6893234,0.41462013,0.52784795,0.20850927,1.0,0.25320855,0.0071586734,0.9998192,0.78787243,0.06270927,0.8234131
6,0.3535647,0.13100621,0.46619934,0.2423988,0.819437,0.0,0.6589318,0.03887044,1.0,0.53670853,0.58430445,0.123401515,0.17399901,1.0,0.10653039,0.0065419977,0.99961495,0.80663,0.02027848,0.8117377
7,0.3974439,0.20196678,0.5375948,0.2871744,0.85118085,1.0,0.68095034,0.011195558,1.0,0.6616298,0.7019376,0.12891701,0.2514996,1.0,0.09617976,0.0066456157,0.9993529,0.8253269,0.013394217,0.87090224
8,0.408426,0.222171,0.23636119,0.24938414,0.8445211,1.0,0.63099366,0.10649826,1.0,0.6878315,0.67695284,0.12402671,0.19447966,1.0,0.10745156,0.006525411,0.99736327,0.76361096,0.08129413,0.8176977
9,0.31217566,0.22910474,0.3376276,0.2759812,0.8461483,1.0,0.67671007,0.3701525,1.0,0.65354913,0.67814535,0.07615943,0.18522471,1.0,0.095591836,0.0048034685,0.9997888,0.7881058,0.023925338,0.86483395
10,0.34514,0.30316335,0.3457932,0.26090074,0.84896886,1.0,0.6675652,0.7226064,1.0,0.62775034,0.6648379,0.079432584,0.19268106,1.0,0.102129236,0.005840924,0.9998727,0.86062557,0.03155245,0.8595574
11,0.31432012,0.18748952,0.32416657,0.28832716,0.86538005,1.0,0.64813775,0.5111537,1.0,0.7231996,0.70106107,0.13263898,0.18685794,1.0,0.09707689,0.004943131,0.99991477,0.7833806,0.06475256,0.92403316
12,0.43595627,0.26791114,0.40091,0.27822906,0.8640571,1.0,0.63430107,0.718247,1.0,0.83337975,0.70326024,0.15855338,0.1517776,1.0,0.05311391,0.0077135544,0.99973065,0.84097517,0.060367562,0.93181515
