frame,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0,0.41957608,0.29528385,0.23505107,0.2895066,0.626046,0.0,0.5083917,0.1586745,0.0,0.8765352,0.53024644,0.51175535,0.3608233,1.0,0.23309386,0.009561811,0.99638224,0.5770008,0.056289833,0.8664614
1,0.43493062,0.1892363,0.2668167,0.28219402,0.66192955,0.0,0.5333934,0.22290342,1.0,0.8601248,0.5634393,0.6400295,0.39645204,1.0,0.30215794,0.012823225,0.99884254,0.71910185,0.10001393,0.87497246
2,0.4519391,0.31829354,0.31131524,0.29557666,0.6317769,1.0,0.5197566,0.5364526,0.0,0.79016036,0.53032297,0.7985661,0.3770486,1.0,0.39870963,0.015367123,0.9991449,0.5834813,0.07445398,0.8712224
3,0.43497428,0.2975565,0.28644183,0.28982762,0.5982568,1.0,0.47102624,0.40174022,0.0,0.7459528,0.4941576,0.5783954,0.3564804,1.0,0.39859924,0.01752194,0.99938583,0.56077456,0.029352995,0.8319692
4,0.3586769,0.26992878,0.518931,0.279851,0.6114026,1.0,0.4589625,0.24582918,0.0,0.70525587,0.51644915,0.67895746,0.35814205,1.0,0.45682436,0.019260466,0.9987313,0.67603225,0.06451746,0.84346724
5,0.4039085,0.20974274,0.3392144,0.29540282,0.55343056,0.0,0.5719742,0.5353335,0.0,0.6845955,0.5321335,0.72597504,0.33707675,1.0,0.57994044,0.023930462,0.9998591,0.6368941,0.062366623,0.7499563
6,0.4644887,0.23943684,0.56189317,0.29428792,0.39596602,0.0,0.68002546,0.6635255,0.0,0.5509452,0.58805645,0.4751794,0.2653586,1.0,0.54888976,0.012726943,0.99994504,0.8460663,0.08441616,0.833437
7,0.4525671,0.22418332,0.3527515,0.2955267,0.4081823,0.0,0.55908227,0.834361,0.0,0.5609594,0.453846,0.48209736,0.25303236,1.0,0.5577388,0.0113088535,0.99989843,0.9298307,0.08222679,0.8245681
8,0.44252807,0.20428888,0.40145692,0.3037776,0.49986824,0.0,0.53144324,0.58088154,0.0,0.57310724,0.5020257,0.41644192,0.28252682,1.0,0.56078476,0.015820403,0.9998863,0.8464241,0.030706393,0.85069025
9,0.42513856,0.19606777,0.3149981,0.2999384,0.48639306,1.0,0.5266029,0.91635644,0.0,0.6622424,0.41181365,0.69190574,0.22626787,1.0,0.6356001,0.015779125,0.9998223,0.9221478,0.011781845,0.78257406
10,0.43736735,0.26651773,0.2792787,0.333015,0.4823646,1.0,0.5063536,0.93444645,0.0,0.5190136,0.46762475,0.598531,0.24331038,1.0,0.43326005,0.010986626,0.999938,0.8351778,0.035341404,0.799819
11,0.42025128,0.2253896,0.21300565,0.30641443,0.3107415,1.0,0.44870788,0.82069486,0.0,0.5523016,0.4687096,0.467039,0.18472733,1.0,0.2892779,0.012036966,0.9999434,0.8737081,0.081540555,0.85863876
12,0.45063072,0.2662492,0.31788096,0.37384808,0.48049837,1.0,0.5148339,0.6645356,1.0,0.733032,0.56771976,0.69097507,0.23212725,1.0,0.3878931,0.0116778435,0.9990221,0.6910011,0.033071704,0.82335675
13,0.39855725,0.26755688,0.2767501,0.38658383,0.44376945,1.0,0.56277436,0.45023265,1.0,0.55529124,0.43597844,0.517418,0.24694438,1.0,0.4402037,0.010999602,0.9992488,0.7324088,0.035477668,0.82432175
14,0.44722337,0.27675638,0.42126906,0.36806527,0.4457261,0.0,0.64627045,0.36365378,0.0,0.42067778,0.550983,0.4949213,0.2637848,1.0,0.5836547,0.008539884,0.99996364,0.74021447,0.05982772,0.7068645
15,0.46312428,0.23855698,0.52627057,0.35476568,0.4053186,0.0,0.6167191,0.5052586,1.0,0.45285597,0.50426,0.44765162,0.346832,1.0,0.4416218,0.012271749,0.9987993,0.6506972,0.13352634,0.79351884
16,0.41961515,0.23701513,0.41706464,0.35476568,0.43626872,1.0,0.63233346,0.9315108,0.0,0.464504,0.56416625,0.73590785,0.28909796,1.0,0.658308,0.010432334,0.99968016,0.54351145,0.06679795,0.6864879
17,0.45067358,0.21512371,0.5761466,0.31570536,0.30967912,0.0,0.6063628,0.6858446,0.0,0.3686553,0.3486166,0.63085943,0.3681801,1.0,0.547448,0.015432308,0.9995609,0.5333615,0.1606533,0.8072774
18,0.43183386,0.20604402,0.5208202,0.30845344,0.48295614,1.0,0.6071704,0.9711256,0.0,0.5811094,0.3772309,0.4888758,0.37978357,1.0,0.5008461,0.026461057,0.99882036,0.43964952,0.3735751,0.8599235
19,0.4224397,0.36164588,0.68766737,0.22578059,0.6039072,1.0,0.5683961,0.43999645,0.0,0.59847015,0.40211222,0.5699537,0.48549196,1.0,0.49485666,0.014947017,0.9990138,0.254283,0.05375369,0.84146297
20,0.46410826,0.2534454,0.56913024,0.2951742,0.6473992,0.0,0.5313798,0.5965006,1.0,0.48000062,0.4110524,0.4676555,0.47080186,1.0,0.58645487,0.18435672,0.99639904,0.23894435,0.1150681,0.9012663
21,0.4845402,0.26870522,0.79625803,0.2804865,0.47153088,0.0,0.54193294,0.1509896,0.0,0.28259048,0.426458,0.41910943,0.47990024,1.0,0.5233485,0.11846359,0.99554884,0.5168584,0.13170418,0.818678
22,0.37277797,0.29403773,0.7973057,0.23174205,0.4451829,0.0,0.5808361,0.20958212,0.0,0.27004817,0.48024288,0.32029912,0.5374417,1.0,0.6382686,0.5970787,0.96080405,0.2849839,0.1561624,0.8030947
23,0.438676,0.28862345,0.67377216,0.24717298,0.49818227,0.0,0.5638292,0.011501245,1.0,0.3710531,0.44202727,0.39932638,0.52845085,1.0,0.53076994,0.5090971,0.9648465,0.2537702,0.43688768,0.78092563
24,0.3520621,0.15491867,0.8483733,0.24382143,0.2668783,1.0,0.55457944,0.056072265,1.0,0.18999837,0.5236451,0.5518144,0.5503148,1.0,0.7066103,0.6643841,0.95228595,0.43453798,0.17597936,0.7864679
25,0.44699383,0.35503897,0.52176076,0.272085,0.56745183,1.0,0.5371299,0.015699428,0.0,0.27003196,0.37815094,0.39871868,0.5059596,1.0,0.399083,0.11847465,0.99493754,0.40668193,0.31586432,0.75802064
26,0.41927987,0.2438379,0.6866982,0.2247157,0.64235413,0.0,0.6012753,0.024863334,0.0,0.35036728,0.25653702,0.49741018,0.46052092,1.0,0.44045258,0.033678185,0.9979746,0.6038019,0.17366901,0.77918416
27,0.3779633,0.20557074,0.80146813,0.23214154,0.38639227,0.0,0.64645934,0.007103807,0.0,0.20252435,0.31239966,0.43969336,0.42797312,1.0,0.52132833,0.036770515,0.9998696,0.49344984,0.13863376,0.73201233
28,0.41446134,0.2781347,0.5349451,0.24382143,0.4838885,1.0,0.56604147,0.0017540299,1.0,0.3033025,0.43263662,0.36434412,0.53362834,1.0,0.46575287,0.14996202,0.9498769,0.49336904,0.14973663,0.85508084
29,0.39739946,0.18639265,0.49036813,0.24345878,0.39038253,0.0,0.58281904,0.002446706,1.0,0.22232027,0.40941334,0.41378313,0.53033406,1.0,0.4430905,0.25727263,0.9640612,0.51501393,0.18916093,0.7383588
